Symbols	EntrezID	EnsemblID	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS.CoV.2_1	Series1_NHBE_SARS.CoV.2_2	Series1_NHBE_SARS.CoV.2_3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gid	Tag
ABCA9	10350	ENSG00000154258	7	10	28	7	7	36	13,108889237155	-0,242695775924896	0,614096902526159	-0,395207621022902	0,69268966877687	0,919697397057131	ABCA9	NC
ABCB10	23456	ENSG00000135776	144	148	235	141	180	381	192,444214301489	0,159894443733972	0,182656401642619	0,875383738516967	0,381365144796835	0,801006854351315	ABCB10	NC
ABCB11	8647	ENSG00000073734	19	22	24	11	17	23	19,6446636801087	-0,552850693381464	0,499487066722171	-1,10683685367368	0,268364471294981	0,71705313187659	ABCB11	NC
ABCB6	10058	ENSG00000115657	315	344	503	273	255	695	373,548266135617	-0,220089655501997	0,136944504588306	-1,60714485158531	0,108022596361053	0,519001637382278	ABCB6	NC
ABCB7	22	ENSG00000131269	241	207	384	187	203	613	277,067946214783	-0,0617576403717272	0,150169997276852	-0,41125152488264	0,680888110532996	0,916363677541774	ABCB7	NC
ABCB8	11194	ENSG00000197150	216	249	404	370	197	701	329,921350485725	0,289957683278056	0,193315211998888	1,49992170962585	0,133634683690584	0,562926720588462	ABCB8	NC
ABCB9	23457	ENSG00000150967	55	52	70	51	39	121	60,6459998125269	-0,0640620170680327	0,28032403960192	-0,228528445719479	0,819235444640661	0,957322972026	ABCB9	NC
ABCC1	4363	ENSG00000103222	1748	1587	2327	1577	1472	4302	2005,54274478449	0,052184406230934	0,0941735582196229	0,554130131827815	0,579489789983102	0,888380948150661	ABCC1	NC
ABCC10	89845	ENSG00000124574	346	428	564	440	337	1051	488,917676511098	0,14113808806922	0,144992701968433	0,973415117817086	0,330347028270997	0,769509523990242	ABCC10	NC
ABCC2	1244	ENSG00000023839	19	22	29	12	15	26	20,3010729437539	-0,628094229289932	0,476152632337845	-1,31910271335911	0,187134776186097	0,636861094135877	ABCC2	NC
ABCC3	8714	ENSG00000108846	246	303	356	292	270	828	349,961050176825	0,268904860582151	0,1517218437188	1,77235428987099	0,0763357644960876	0,456152193782825	ABCC3	NC
ABCC4	10257	ENSG00000125257	125	120	239	98	99	306	149,460537335508	-0,257503824256635	0,193059929959897	-1,3338025363944	0,182268579531931	0,631205058138205	ABCC4	NC
ABCC5	10057	ENSG00000114770	1112	1066	1593	945	1061	2832	1325,2426508971	0,041185513564173	0,100648085860886	0,409203147897902	0,682390584458203	0,916962347865711	ABCC5	NC
ABCC9	10060	ENSG00000069431	41	41	89	23	31	120	49,9037395607728	-0,37629984324093	0,330678536905241	-1,13796270771805	0,255136054643893	0,702433199364821	ABCC9	NC
ABCD1	215	ENSG00000101986	61	66	105	48	46	160	73,3167675927493	-0,2283839971255	0,255378587438347	-0,894295795964634	0,371163648712056	0,795499693091309	ABCD1	NC
ABCD3	5825	ENSG00000117528	358	407	882	370	310	877	493,324587456319	-0,308070256834176	0,16632256863811	-1,85224566549646	0,0639905540633671	0,420424248137029	ABCD3	NC
ABCD4	5826	ENSG00000119688	220	255	347	215	190	557	277,124835463499	-0,0866560724470623	0,15355029768613	-0,564349752184752	0,57251612829028	0,885612248516993	ABCD4	NC
ABCE1	6059	ENSG00000164163	664	843	2043	763	711	2160	1076,40210644942	-0,20787401565548	0,301440461605739	-0,689602233715271	0,490444362295836	0,849900478761107	ABCE1	NC
ABCF1	23	ENSG00000204574	1446	1321	1933	1378	1355	4053	1747,79466990453	0,188493789588331	0,0944974204082387	1,99469772586404	0,046075857578506	0,364625371615657	ABCF1	NC
ABCF2	10061	ENSG00000033050	1103	915	1510	1035	1055	3123	1322,06691438678	0,230034831022465	0,0991529245855659	2,32000046376798	0,0203408522493677	0,236921557704528	ABCF2	NC
ABCF3	55324	ENSG00000161204	521	480	784	502	453	1412	631,539611790094	0,0820772926847202	0,11233503821123	0,73064730285119	0,464994611109339	0,836488281523279	ABCF3	NC
ABCG1	9619	ENSG00000160179	234	238	354	278	248	679	313,961308834178	0,256163239945595	0,144310841155248	1,77507966757686	0,075884733684123	0,454961149783082	ABCG1	NC
ABCG2	9429	ENSG00000118777	30	23	43	26	27	69	33,7130052944568	0,0623607224476741	0,363100538001845	0,171745056591894	0,863637962023792	0,968749823245675	ABCG2	NC
ABHD10	55347	ENSG00000144827	191	120	275	103	107	323	171,479752585334	-0,453683823736479	0,195278346694311	-2,32326743551694	0,0201647900627412	0,235556948766024	ABHD10	NC
ABHD11	83451	ENSG00000106077	110	103	127	92	77	290	120,633783415887	0,0329893186972551	0,21640737787486	0,152440822587534	0,878839261529075	0,971576915778281	ABHD11	NC
ABHD12	26090	ENSG00000100997	311	294	404	296	212	697	344,74304341778	-0,0657211206679903	0,153395148844255	-0,428443279746207	0,668328420483132	0,914276872034616	ABHD12	NC
ABHD13	84945	ENSG00000139826	112	122	279	94	87	216	141,961785114513	-0,576988927764852	0,224053734401672	-2,57522566765371	0,0100174704173253	0,155073770220304	ABHD13	NC
ABHD14A	25864	ENSG00000248487	30	23	33	20	16	60	27,8587836271444	-0,220744968942764	0,402064185938176	-0,549029176591987	0,582985427121033	0,890171333736926	ABHD14A	NC
ABHD14B	84836	ENSG00000114779	689	515	693	472	468	1307	648,741804247118	-0,0967208412941476	0,142636301308449	-0,678094148592579	0,497712000557817	0,852641849306316	ABHD14B	NC
ABHD15	116236	ENSG00000168792	156	147	202	162	116	372	179,695164052604	0,0503350280057888	0,185746746665668	0,270987400368247	0,786400722869737	0,949990974916037	ABHD15	NC
ABHD16A	7920	ENSG00000204427	315	305	439	339	278	785	383,892485259399	0,11460564302643	0,140880461278316	0,813495654305255	0,415933936841086	0,812750375321669	ABHD16A	NC
ABHD2	11057	ENSG00000140526	1356	1348	2057	997	1096	2887	1517,54719627965	-0,240819617071557	0,09755185485167	-2,46863186187212	0,0135630671229716	0,187893898700104	ABHD2	NC
ABHD3	171586	ENSG00000158201	90	98	125	62	63	184	97,2653579739582	-0,3614001535511	0,22638006418488	-1,59643100576184	0,11039259826554	0,523753803573904	ABHD3	NC
ABHD4	63874	ENSG00000100439	779	777	1158	695	595	1766	896,984919004169	-0,13622446853777	0,108757695400025	-1,25255015782302	0,210369463555017	0,66468329056348	ABHD4	NC
ABHD5	51099	ENSG00000011198	430	396	693	269	392	935	481,044115038707	-0,228251594430066	0,146403198204304	-1,55906153164457	0,118981817340577	0,537175339632539	ABHD5	NC
ABHD6	57406	ENSG00000163686	90	98	140	70	71	163	101,214693526229	-0,372204356102863	0,226694146638347	-1,64187898815338	0,100615085179929	0,507183120423031	ABHD6	NC
ABHD8	79575	ENSG00000127220	45	58	80	90	39	108	68,9490025977263	0,217628918304182	0,332679090710992	0,654170714002712	0,513001827160046	0,862056491349298	ABHD8	NC
ABI1	10006	ENSG00000136754	1950	1758	2979	1643	1887	5324	2355,425280826	0,0772978864048672	0,0954589115326873	0,809750343511916	0,418083677270005	0,814509560930212	ABI1	NC
ABI2	10152	ENSG00000138443	311	345	545	227	292	809	385,462685816397	-0,190409798773286	0,146150878315641	-1,30283034195702	0,192632689490919	0,64422586567764	ABI2	NC
ABI3BP	25890	ENSG00000154175	23	14	25	10	16	35	19,3606315427986	-0,332668617791316	0,485684134506488	-0,684948496679526	0,493376421621986	0,852150436250931	ABI3BP	NC
ABL1	25	ENSG00000097007	830	777	1215	994	764	2435	1071,64123912357	0,262932315368852	0,113546558750595	2,31563438171987	0,0205782399440191	0,238661745323455	ABL1	NC
ABL2	27	ENSG00000143322	872	790	1466	814	802	2358	1078,09078509613	0,0410902178163653	0,103997711787049	0,395106941396015	0,692763966289433	0,919697397057131	ABL2	NC
ABLIM1	3983	ENSG00000099204	1779	1628	2741	1192	1354	3671	1912,86473004729	-0,295721958358253	0,0955219861311548	-3,095852277948	0,00196248103521567	0,0539997361914733	ABLIM1	NC
ABLIM2	84448	ENSG00000163995	5	14	14	4	7	28	10,4291214136151	-0,248857799191415	0,683431471703639	-0,364129849875174	0,715761047687273	NA	ABLIM2	NC
ABLIM3	22885	ENSG00000173210	1671	1419	2330	1467	1523	4637	1968,35295547158	0,147007399472006	0,0942274984923723	1,56013267702216	0,11872853091806	0,536826050547896	ABLIM3	NC
ABO	28	ENSG00000175164	125	159	146	97	110	326	149,300774878745	-0,0873353088503585	0,219145055123915	-0,398527399128285	0,690241465754547	0,918684120460741	ABO	NC
ABR	29	ENSG00000159842	1286	1075	1570	1356	1163	3509	1525,97973840915	0,291386878752275	0,109439410707759	2,66254064114415	0,00775532037718108	0,134646278675892	ABR	NC
ABRACL	58527	ENSG00000146386	365	350	663	333	296	882	442,909288462271	-0,154049188283228	0,133504030891022	-1,15389166345828	0,248544587409522	0,69604441276431	ABRACL	NC
ABT1	29777	ENSG00000146109	274	237	414	242	199	664	309,165669775892	-0,0694438322409477	0,144648905646805	-0,480085431206174	0,631166647132542	0,903305419692297	ABT1	NC
ABTB1	80325	ENSG00000114626	57	63	76	52	36	107	62,5997669663086	-0,303052249568928	0,285764207251766	-1,06049757764775	0,288918291414151	0,734512939947731	ABTB1	NC
ABTB2	25841	ENSG00000166016	133	115	183	128	132	385	162,977209837532	0,250963579816137	0,178894494180209	1,40285804192123	0,160659174848806	0,604495033862407	ABTB2	NC
ACAA1	30	ENSG00000060971	857	734	1203	866	764	2250	1023,42451813818	0,167976397027793	0,104903609474198	1,60124516086464	0,109322629882118	0,522527326970424	ACAA1	NC
ACAA2	10449	ENSG00000167315	159	126	186	80	132	347	157,158417463808	-0,127949673088877	0,212785235008459	-0,601308982194138	0,547634208090885	0,87634621774928	ACAA2	NC
ACACA	31	ENSG00000278540	3226	2703	4485	2723	2916	8748	3744,91821995179	0,120386052914783	0,0914354301615592	1,31662368408034	0,187964795917619	0,637369603341909	ACACA	NC
ACACB	32	ENSG00000076555	23	21	44	19	17	25	24,7902924758297	-0,627134170396259	0,45553128449055	-1,37670933204428	0,168602132368778	0,614669360127354	ACACB	NC
ACAD10	80724	ENSG00000111271	180	219	259	174	176	448	229,305424969681	-0,0269047185746271	0,172709594792347	-0,155780103629884	0,876206354148815	0,971576915778281	ACAD10	NC
ACAD11	84129	ENSG00000240303	23	11	19	11	16	42	18,70754711363	0,0147740176042053	0,503325658565719	0,0293528004240941	0,976583216372537	0,994052575548072	ACAD11	NC
ACAD8	27034	ENSG00000151498	230	166	309	220	192	657	264,697654110579	0,25374407591689	0,159407387094849	1,59179621811321	0,111430500201383	0,526327625765256	ACAD8	NC
ACAD9	28976	ENSG00000177646	738	627	955	629	606	1888	827,885772028023	0,0792368894874785	0,110344708661822	0,718085084898083	0,472704826045515	0,842639558411022	ACAD9	NC
ACADM	34	ENSG00000117054	458	438	846	420	383	1100	559,954877342491	-0,14842057149277	0,127907598923019	-1,16037336907635	0,245896824498393	0,694388910051609	ACADM	NC
ACADS	35	ENSG00000122971	23	34	47	32	16	43	31,991499575836	-0,377445849168776	0,413370715653711	-0,913092860416774	0,361193704979751	0,788688236817666	ACADS	NC
ACADSB	36	ENSG00000196177	180	149	328	138	151	367	203,611231094257	-0,248882695346619	0,180296933080039	-1,38040448661505	0,167462139542744	0,612905946169002	ACADSB	NC
ACADVL	37	ENSG00000072778	4369	4298	5585	4039	4148	10952	5196,1201184071	0,108085323535184	0,100025676268316	1,08057578381423	0,279885859334547	0,726671672932695	ACADVL	NC
ACAP1	9744	ENSG00000072818	16	15	9	11	10	23	14,0162177323064	-0,196616521328931	0,59196546651556	-0,332141877272435	0,739782129815837	0,93649532672793	ACAP1	NC
ACAP2	23527	ENSG00000114331	580	500	808	397	415	1212	602,954843081902	-0,232101108429525	0,115187656313675	-2,01498247171099	0,0439064857007748	0,357843824016437	ACAP2	NC
ACAP3	116983	ENSG00000131584	305	339	470	357	251	744	387,837823261048	0,0040819342163006	0,15696976340828	0,0260045892130413	0,979253678027405	0,994656966542549	ACAP3	NC
ACAT1	38	ENSG00000075239	488	428	777	386	388	1302	563,920071729002	-0,0617389400298462	0,124294169232683	-0,496716301424153	0,619389125258324	0,900362701701981	ACAT1	NC
ACAT2	39	ENSG00000120437	1067	894	1494	924	1050	3389	1303,11309908545	0,254594904655663	0,11327471018428	2,24758822372158	0,0246024591847866	0,262461965082889	ACAT2	NC
ACBD3	64746	ENSG00000182827	1617	1293	2220	1239	1307	4164	1779,96542285637	0,0250795714882999	0,104029824277691	0,241080590709775	0,809492655558073	0,955888101822779	ACBD3	NC
ACBD4	79777	ENSG00000181513	63	101	95	74	53	153	86,6274919661045	-0,192649824056908	0,274288047929655	-0,702363174447598	0,482452704780184	0,846604491814491	ACBD4	NC
ACBD5	91452	ENSG00000107897	463	360	617	319	385	1084	491,132464101397	-0,028586497825821	0,13415594951548	-0,21308408556657	0,831261377478536	0,960673449986543	ACBD5	NC
ACBD6	84320	ENSG00000230124	466	501	777	408	367	1073	557,330922875851	-0,219011936104105	0,1210372816833	-1,80945848302477	0,0703798045013334	0,440322926413637	ACBD6	NC
ACCS	84680	ENSG00000110455	46	42	78	41	27	123	53,0009983133225	-0,165945902686729	0,304677942800433	-0,544660047135164	0,585987347935754	0,891125644972144	ACCS	NC
ACD	65057	ENSG00000102977	171	181	234	209	163	442	220,639134200509	0,196575491340267	0,177559371032131	1,10709724976833	0,268251884488877	0,716954542483054	ACD	NC
ACE2	59272	ENSG00000130234	41	42	54	41	37	149	53,155839593821	0,308834005628594	0,30257920121257	1,02067162710113	0,307410041358961	0,749813878268955	ACE2	NC
ACER2	340485	ENSG00000177076	185	182	230	105	129	270	178,793057489829	-0,521911576546472	0,192954352731206	-2,70484479442409	0,00683363097463976	0,124405266772008	ACER2	NC
ACER3	55331	ENSG00000078124	156	157	373	136	189	443	220,552365406489	-0,0793767827458565	0,202062715819722	-0,392832405641205	0,694443268541821	0,919928012838848	ACER3	NC
ACHE	43	ENSG00000087085	6	17	21	11	11	21	14,1086388985684	-0,22911221481977	0,590175213436027	-0,388210500210383	0,69786026330789	0,920061844967204	ACHE	NC
ACIN1	22985	ENSG00000100813	3096	3041	4378	2766	2915	8244	3746,68077355985	0,0729476628939679	0,0879725537909317	0,829209335758619	0,406985963160966	0,811286762921485	ACIN1	NC
ACLY	47	ENSG00000131473	6037	5202	8389	6031	5862	19146	7554,00378624963	0,29846477092637	0,0873537869256755	3,41673534062487	0,000633768591824867	0,0229015716750691	ACLY	NC
ACO1	48	ENSG00000122729	936	780	1449	898	913	2462	1138,49520391818	0,148325623683176	0,105009328069963	1,4124995027523	0,157802936999064	0,602917781903749	ACO1	NC
ACO2	50	ENSG00000100412	1469	1362	2072	1570	1267	3889	1789,34725805948	0,147443078891234	0,103194334303473	1,4287904455843	0,153064472516377	0,595432709720809	ACO2	NC
ACOT1	641371	ENSG00000184227	7	9	24	9	8	29	12,5055745421726	-0,0930170954318968	0,603650568798643	-0,154090959637485	0,877538016312504	0,971576915778281	ACOT1	NC
ACOT11	26027	ENSG00000162390	74	61	145	82	67	204	95,8657883644544	0,0696822342084382	0,239369255799757	0,29110770293212	0,770968948848727	0,946023110205593	ACOT11	NC
ACOT13	55856	ENSG00000112304	576	520	822	447	522	1535	668,771085917249	0,0322472348665073	0,118451137237943	0,27224082113901	0,785436855999816	0,949855020574776	ACOT13	NC
ACOT2	10965	ENSG00000119673	84	62	86	67	49	174	80,5377694828049	-0,0362032254398069	0,258193532227243	-0,140217398660256	0,888488225565076	0,974224470720453	ACOT2	NC
ACOT7	11332	ENSG00000097021	675	588	963	794	494	2017	829,623134704597	0,220106483948603	0,144285622914224	1,52549144885665	0,127136564793119	0,550147407882109	ACOT7	NC
ACOT8	10005	ENSG00000101473	111	107	168	111	88	272	132,406557839163	-0,0172714477697806	0,197916683342424	-0,0872662550629879	0,930459876221079	0,984972344645963	ACOT8	NC
ACOT9	23597	ENSG00000123130	787	676	1192	687	774	2333	964,667007777236	0,170345142167547	0,110505772935199	1,54150446300609	0,123194057564759	0,545360111053252	ACOT9	NC
ACOX1	51	ENSG00000161533	780	707	1142	674	743	1967	924,929250142126	0,0585032196504166	0,105259148473439	0,555801756891272	0,578346384343372	0,887812196580428	ACOX1	NC
ACOX3	8310	ENSG00000087008	132	119	195	138	99	411	161,930145465724	0,163700748246096	0,192923645403873	0,848526099034664	0,39614504385332	0,807844992539229	ACOX3	NC
ACP1	52	ENSG00000143727	828	682	1343	720	694	2258	977,185812717992	0,0313149942790553	0,113489252761003	0,275929160843111	0,782602475926977	0,948623507357845	ACP1	NC
ACP2	53	ENSG00000134575	304	280	288	343	259	699	346,547717681359	0,275967221481507	0,186829034603393	1,47711099651796	0,139645886328824	0,571670847343427	ACP2	NC
ACP5	54	ENSG00000102575	536	474	694	430	373	1150	566,833579069644	-0,134012910427838	0,12223860758226	-1,09632229193755	0,272937757284924	0,720956933273823	ACP5	NC
ACP6	51205	ENSG00000162836	216	238	363	214	190	641	281,139842468198	0,00894354255806356	0,150337356220408	0,0594898219771241	0,952561972006317	0,990370567480699	ACP6	NC
ACPP	NA	NA	15	12	16	8	13	36	15,1257597903139	0,0157574736713191	0,541655212009921	0,0290913358201573	0,976791745888882	0,994052575548072	ACPP	NC
ACSF2	80221	ENSG00000167107	1149	1203	1650	960	998	2765	1352,68899050549	-0,0865569696025359	0,102234183653291	-0,846653893144763	0,397188065115513	0,808597525401461	ACSF2	NC
ACSF3	197322	ENSG00000176715	160	143	188	157	119	376	177,682777779778	0,0827118661034537	0,187073389079522	0,442135925961623	0,658390848609788	0,911740991327423	ACSF3	NC
ACSL1	2180	ENSG00000151726	1362	1303	1954	931	938	2773	1436,19324002253	-0,328213371993135	0,094018591137701	-3,49094118537076	0,000481322197979788	0,0183898802839602	ACSL1	NC
ACSL3	2181	ENSG00000123983	4064	3521	6575	2997	3583	9919	4660,73189474037	-0,0950486931926202	0,101424530029863	-0,937137132059025	0,348688023253584	0,779039657295395	ACSL3	NC
ACSL4	2182	ENSG00000068366	1578	1455	3041	1473	1475	4158	2004,13761755611	-0,0457845858835925	0,113309908734248	-0,404065155422316	0,68616480731913	0,918012912012404	ACSL4	NC
ACSL5	51703	ENSG00000197142	9	10	11	10	12	18	11,6874995643403	0,221895984840095	0,623420053196832	0,35593334494493	0,721890483267789	NA	ACSL5	NC
ACSM3	6296	ENSG00000005187	9	15	15	6	3	24	10,7871531596096	-0,747451399459541	0,663213669408577	-1,1270144659806	0,259736364816996	NA	ACSM3	NC
ACSS1	84532	ENSG00000154930	28	27	27	15	11	39	23,6361254694986	-0,71355315851769	0,446065931644436	-1,59965849865995	0,10967436332628	0,522865683145517	ACSS1	NC
ACSS2	55902	ENSG00000131069	792	684	935	628	762	2108	900,276251954629	0,176796858240401	0,125585334833698	1,40778267203346	0,159195432882714	0,603456085997044	ACSS2	NC
ACTA2	59	ENSG00000107796	282	201	325	201	174	534	266,56707187895	-0,158649721740755	0,162808241222641	-0,974457561541993	0,329829400901513	0,76923859304344	ACTA2	NC
ACTB	60	ENSG00000075624	42575	38882	58581	44417	37261	122945	52215,4168083574	0,201947093660034	0,0890109936071687	2,26878821902927	0,02328120774049	0,255539477824939	ACTB	NC
ACTBL2	345651	ENSG00000169067	18	9	12	15	12	62	17,9124332741931	0,686512529043258	0,531969849165043	1,29051022369177	0,196873564435342	0,647093740419396	ACTBL2	NC
ACTG1	71	ENSG00000184009	22851	21971	32573	27927	19811	61562	28932,9496307146	0,210167709997906	0,113914269137929	1,84496386263456	0,0650427955927791	0,424547561875174	ACTG1	NC
ACTL6A	86	ENSG00000136518	723	636	976	668	647	1611	826,155902212195	0,0529942677506736	0,116539162837886	0,454733554456645	0,649300937874523	0,908953385157912	ACTL6A	NC
ACTN1	87	ENSG00000072110	8842	6480	9522	9825	8660	24428	10419,7239141809	0,474649861599284	0,118196393348628	4,01577280111478	5,92513162110118e-05	0,00317338410974781	ACTN1	NC
ACTN4	81	ENSG00000130402	12384	12041	16160	13180	9278	29229	14423,3454994852	0,0437910424201853	0,120352731199946	0,363855825983987	0,715965672587542	0,926346724296749	ACTN4	NC
ACTR10	55860	ENSG00000131966	602	543	864	495	480	1528	684,876201485588	-0,0309948477076098	0,110923505190725	-0,279425426146753	0,779918360616608	0,948376299647014	ACTR10	NC
ACTR1A	10121	ENSG00000138107	3615	2976	4472	3013	3178	9574	4065,9805035419	0,150944329548764	0,0985421885389116	1,53177366757143	0,125578296224312	0,54700461572066	ACTR1A	NC
ACTR1B	10120	ENSG00000115073	359	295	498	345	269	917	407,740179669384	0,0794237978628542	0,138024481230534	0,575432685236451	0,564998704086882	0,884519775795976	ACTR1B	NC
ACTR2	10097	ENSG00000138071	3635	3020	6182	2815	3169	8937	4207,92017815858	-0,0845099232249644	0,105824454859297	-0,79858595385469	0,424530534912094	0,818723661254943	ACTR2	NC
ACTR3	10096	ENSG00000115091	2461	2144	3941	2187	2310	6893	3003,26719313206	0,0901155114187926	0,0931172136182864	0,967764260947513	0,333162116460912	0,771157052051371	ACTR3	NC
ACTR3B	57180	ENSG00000133627	35	35	71	37	39	92	47,8724564779094	0,0129092013504317	0,314970833095563	0,0409853865628094	0,967307545906947	0,993007968136705	ACTR3B	NC
ACTR3C	653857	ENSG00000106526	22	17	25	10	20	25	19,9306387794181	-0,406430131572335	0,501214737496462	-0,810890225619521	0,417428713927365	0,814118863243981	ACTR3C	NC
ACTR5	79913	ENSG00000101442	80	79	109	67	73	200	93,8236391290233	0,0141261849208943	0,227302397817772	0,0621471003232411	0,950445688827502	0,989764519342226	ACTR5	NC
ACTR6	64431	ENSG00000075089	49	94	276	104	68	210	120,667840244147	-0,262863712998093	0,553653202224749	-0,474780443681759	0,634943473446711	0,905072299124163	ACTR6	NC
ACTR8	93973	ENSG00000113812	292	250	466	284	277	794	359,496117970064	0,127737195634086	0,135724300953437	0,941151987792581	0,346626977027191	0,778596488184836	ACTR8	NC
ACTRT3	84517	ENSG00000184378	31	30	56	44	40	119	47,9446570231194	0,498311370840658	0,309344375913289	1,61086287529707	0,107209613204186	0,517672417837153	ACTRT3	NC
ACVR1	90	ENSG00000115170	324	285	469	203	220	679	333,599752600549	-0,318874165128079	0,139622452723401	-2,283831567977	0,0223814316425421	0,250943958332315	ACVR1	NC
