	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
WRAP73	125	121	165	142	102	275
TP73	12	17	10	8	3	16
TP73-AS1	159	195	231	173	153	433
CCDC27	0	0	0	0	0	0
SMIM1	4	5	6	7	10	11
LRRC47	494	450	686	523	432	1346
CEP104	594	462	806	488	510	1397
DFFB	80	58	116	86	83	223
C1orf174	178	169	249	153	178	465
AJAP1	13	24	29	14	6	22
MIR4689	0	0	0	0	0	0
NPHP4	109	85	140	124	98	314
KCNAB2	31	32	55	34	27	86
CHD5	1	3	6	0	5	6
RPL22	4150	3374	6186	3925	4344	11992
RNF207	198	267	276	261	248	746
ICMT	1369	1213	1963	1107	1153	3580
HES3	0	0	0	0	0	0
GPR153	738	697	1019	870	678	2044
ACOT7	675	588	963	794	494	2017
HES2	4768	3998	6323	3999	3981	11630
ESPN	515	638	836	485	339	1016
MIR4252	0	0	0	0	0	0
TNFRSF25	157	233	279	211	148	531
PLEKHG5	922	1100	1485	1197	798	2632
NOL9	314	255	396	227	264	646
TAS1R1	0	0	0	1	0	1
ZBTB48	127	164	210	159	121	396
KLHL21	482	428	871	531	462	1241
PHF13	216	176	307	158	203	482
THAP3	70	80	125	110	76	226
DNAJC11	942	760	1497	979	882	2847
CAMTA1	200	196	382	190	192	620
VAMP3	1627	1366	2414	1279	1405	3847
PER3	135	123	216	95	84	224
UTS2	0	0	0	0	0	0
TNFRSF9	7	10	8	6	5	14
PARK7	1780	1560	2592	1525	1676	4824
ERRFI1	1721	1520	2666	1732	2079	5900
SLC45A1	4	3	3	5	0	10
RERE	1095	1046	1396	998	898	2542
ENO1	28567	23784	37550	29550	25434	77130
ENO1-AS1	0	0	4	0	1	0
CA6	0	0	0	1	1	2
SLC2A7	0	0	0	0	0	0
SLC2A5	18	19	21	9	12	24
GPR157	56	63	95	108	43	153
MIR34A	1	2	6	4	2	3
H6PD	434	427	620	370	342	997
SPSB1	678	692	1030	591	559	1633
SLC25A33	13	16	31	23	17	53
TMEM201	63	64	82	73	55	148
PIK3CD	317	262	479	347	314	944
CLSTN1	8324	7861	11675	7746	6743	19880
CTNNBIP1	409	344	585	307	276	960
LZIC	375	297	556	251	319	935
NMNAT1	393	351	629	378	398	1212
RBP7	4	5	21	11	13	29
UBE4B	1043	960	1512	798	872	2300
KIF1B	1414	1241	2051	1152	1249	3612
PGD	3237	2446	3899	2659	2946	8597
CORT	1	0	0	0	0	0
DFFA	939	711	1277	840	745	2146
PEX14	358	415	563	446	299	923
CASZ1	306	343	426	299	211	705
C1orf127	0	0	0	2	3	1
TARDBP	2368	1940	3578	1735	2070	5865
MASP2	1	0	1	0	0	3
SRM	336	318	458	394	325	1167
EXOSC10	1153	933	1506	920	993	2997
MTOR	1444	1243	1994	1318	1262	4177
MTOR-AS1	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
UBIAD1	175	188	250	166	175	505
FBXO2	753	716	1150	938	581	1825
FBXO44	410	431	580	421	357	1052
FBXO6	114	80	142	108	84	313
MAD2L2	100	93	134	112	81	219
DRAXIN	1	0	0	0	0	1
AGTRAP	600	715	907	689	460	1569
MTHFR	264	233	383	232	221	645
CLCN6	197	184	315	212	206	553
NPPA-AS1	4	7	3	6	7	12
NPPA	0	1	0	0	0	6
NPPB	0	0	0	0	0	0
KIAA2013	512	515	694	534	392	1210
PLOD1	2445	2258	3490	2614	2022	6241
MFN2	2974	2513	4102	2861	2477	7177
MIIP	117	131	156	120	110	323
TNFRSF8	0	0	0	0	0	0
TNFRSF1B	0	0	0	0	2	0
MIR4632	0	0	0	0	0	0
VPS13D	1828	1679	2676	1575	1595	4519
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
DHRS3	2125	2051	3004	1911	1797	4586
AADACL4	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0
PDPN	1073	941	1617	1107	1163	3350
PRDM2	1020	926	1319	791	848	2549
KAZN	127	175	249	158	143	408
TMEM51-AS1	43	57	67	59	40	138
TMEM51	207	225	383	275	246	812
FHAD1	2	0	1	2	0	6
EFHD2	1058	1051	1496	1546	1021	3404
CTRC	0	0	0	0	1	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	111	86	123	85	73	244
DNAJC16	430	490	901	387	396	1205
AGMAT	25	12	25	9	6	46
DDI2	92	71	140	75	57	274
RSC1A1	95	78	174	85	86	262
PLEKHM2	1003	993	1340	1068	797	2434
SLC25A34	4	16	11	13	8	31
TMEM82	0	0	0	0	0	0
FBLIM1	2738	2359	3579	2589	2431	7088
UQCRHL	77	64	127	81	66	200
FLJ37453	8	14	25	16	15	36
SPEN	2419	2036	3321	2197	2038	6206
ZBTB17	189	230	320	324	179	648
HSPB7	1	4	3	1	1	6
CLCNKA	0	0	0	0	0	3
CLCNKB	1	2	0	0	0	0
FAM131C	15	28	33	18	12	55
EPHA2	1887	1841	2616	2745	1948	6368
ARHGEF19	75	90	99	89	36	173
FBXO42	262	197	344	189	223	605
SZRD1	1803	1680	2782	1937	1552	4873
SPATA21	0	0	0	0	0	0
NECAP2	875	726	1159	933	865	2470
CROCCP3	25	21	30	18	14	50
MIR3675	0	0	0	0	0	0
NBPF1	313	332	526	273	318	840
CROCCP2	54	83	97	76	52	145
MST1P2	13	12	24	16	12	42
ESPNP	0	0	0	0	0	2
MST1L	4	9	8	11	5	11
CROCC	69	83	130	86	74	186
MFAP2	879	872	1102	907	794	2352
ATP13A2	737	745	992	973	644	2175
SDHB	955	828	1343	950	879	2853
PADI2	38	37	67	55	46	143
PADI1	297	334	455	305	318	1045
PADI3	453	459	604	242	217	836
PADI4	1	0	1	1	0	3
PADI6	1	0	0	0	0	0
RCC2	3162	2702	4028	2585	2614	8035
ARHGEF10L	166	189	236	188	121	458
ACTL8	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0
KLHDC7A	17	8	10	5	13	16
PAX7	1	0	0	0	0	0
TAS1R2	0	0	0	0	0	0
ALDH4A1	561	528	768	581	371	1260
MIR4695	0	0	0	0	0	0
IFFO2	852	737	1160	669	636	1772
UBR4	3451	3070	5064	3276	3209	9579
EMC1	1101	955	1601	1005	965	3020
MRTO4	678	456	845	530	560	1714
AKR7L	2	0	7	2	1	0
AKR7A3	5	2	2	1	0	6
LOC100506730	63	48	62	36	54	156
AKR7A2	425	397	583	307	312	976
PQLC2	125	131	187	147	106	334
CAPZB	3202	2750	4056	2668	2805	8494
MINOS1	268	274	439	257	261	708
NBL1	0	3	0	3	3	2
HTR6	0	0	0	0	0	0
TMCO4	128	117	173	100	111	350
RNF186	0	0	0	0	0	0
OTUD3	107	120	234	119	134	408
PLA2G2E	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	3
PLA2G2C	0	0	0	0	0	0
UBXN10	8	3	5	1	4	20
VWA5B1	0	0	0	0	0	0
CAMK2N1	1973	1866	2589	1321	1368	4210
MUL1	688	566	887	563	584	1628
FAM43B	0	0	0	0	0	0
CDA	671	668	905	737	747	2752
PINK1	1390	1342	2026	1370	1198	3572
DDOST	3758	3581	4969	3395	3220	8910
KIF17	14	3	3	4	0	14
SH2D5	138	128	281	152	106	433
HP1BP3	2149	1882	2787	1505	1772	5310
EIF4G3	2835	2424	4001	2448	2677	7936
ECE1	2628	2387	3387	2669	2281	6759
LOC100506801	1	0	2	1	2	5
NBPF3	172	134	228	165	128	474
ALPL	0	3	6	5	3	8
RAP1GAP	35	41	43	33	21	123
USP48	1337	1288	2272	1040	1196	3233
LDLRAD2	15	50	13	28	22	52
HSPG2	3842	4335	5655	5372	2937	9604
CELA3B	0	0	2	0	0	0
CELA3A	0	0	0	0	0	0
LINC00339	20	25	45	16	24	67
CDC42	4261	4097	7429	3299	3785	10877
WNT4	70	94	100	182	126	232
ZBTB40	645	624	954	572	573	1683
EPHA8	0	5	0	2	0	3
C1QA	0	0	0	0	0	0
C1QC	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
EPHB2	1331	1266	1692	1232	1074	3150
MIR4684	0	1	0	0	0	0
MIR4253	4	1	0	0	0	10
KDM1A	1302	1122	2066	1095	1207	3565
MIR3115	0	0	0	0	0	0
LUZP1	2922	2449	4295	2664	2723	7922
HTR1D	1	4	0	1	0	7
HNRNPR	4167	4042	7375	3456	3725	10005
ZNF436	590	515	892	394	454	1254
TCEA3	43	41	31	25	24	73
ASAP3	110	137	188	112	93	250
E2F2	7	4	9	2	6	13
ID3	683	735	1228	686	514	1588
MDS2	0	0	0	0	0	0
RPL11	20603	16960	28510	16694	17730	54125
PITHD1	369	277	501	295	291	802
LYPLA2	963	972	1463	1129	781	2569
GALE	478	497	670	567	485	1440
HMGCL	608	450	649	415	444	1216
FUCA1	431	396	557	325	360	878
CNR2	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
PNRC2	168	117	166	134	142	448
SRSF10	759	649	1220	634	722	2007
MYOM3	27	22	38	26	16	96
IL22RA1	38	49	79	44	54	106
IFNLR1	198	152	211	137	141	450
LOC284632	0	0	0	0	1	0
GRHL3	788	863	1076	681	637	1935
STPG1	316	352	499	281	300	869
NIPAL3	1878	1645	2783	1661	1761	4790
RCAN3AS	1	1	2	4	0	2
RCAN3	228	174	336	174	155	498
NCMAP	1	6	7	5	7	8
SRRM1	2470	2157	3393	2159	2259	6635
CLIC4	1154	1101	2554	1091	1222	3392
RUNX3	40	33	34	42	33	100
SYF2	1330	1209	2008	1037	1127	3000
RHD	2	1	0	0	0	0
TMEM50A	1098	1695	1911	1643	1011	2711
RHCE	1	3	0	1	2	7
LDLRAP1	646	569	881	595	440	1397
MAN1C1	24	24	31	7	13	30
MTFR1L	390	402	566	374	386	980
LOC646471	3	10	0	4	8	16
AUNIP	89	53	64	63	56	186
PAQR7	2205	2284	3071	2165	1908	5417
STMN1	825	665	1159	626	738	2255
MIR3917	0	0	0	0	0	0
PAFAH2	655	573	929	537	542	1700
EXTL1	0	2	1	0	0	3
SLC30A2	1	3	3	1	0	4
TRIM63	0	0	0	0	0	0
PDIK1L	24	19	57	16	12	48
FAM110D	0	0	0	0	0	0
ZNF593	94	92	147	103	82	233
CNKSR1	334	360	495	419	284	874
CATSPER4	1	3	0	0	0	0
CEP85	246	222	318	200	221	587
SH3BGRL3	10137	9136	13589	9981	9049	30442
UBXN11	44	50	53	49	31	114
CD52	0	1	0	0	0	0
ZNF683	0	0	0	0	0	0
LIN28A	0	0	0	0	0	0
DHDDS	576	568	900	587	601	1814
HMGN2	334	244	448	317	277	829
RPS6KA1	1100	894	1374	1100	1001	2793
MIR1976	0	0	0	0	0	0
ARID1A	2240	2015	3142	2042	1915	5657
PIGV	130	128	173	113	139	304
ZDHHC18	275	288	351	262	250	778
SFN	12382	12281	17852	15011	10503	34044
GPN2	168	157	243	187	144	580
GPATCH3	160	151	253	161	136	394
NR0B2	0	0	0	0	0	0
NUDC	1633	1368	2238	1671	1496	4614
TRNP1	810	739	1280	589	635	2187
SLC9A1	1220	1161	1660	1269	1055	3267
WDTC1	693	675	1036	715	605	1671
TMEM222	204	236	307	206	164	535
SYTL1	247	390	443	298	186	502
MAP3K6	396	367	483	468	313	1051
FCN3	0	1	0	0	0	0
CD164L2	31	42	30	27	18	61
GPR3	7	5	18	10	12	44
WASF2	4492	4137	6121	3582	3700	10142
AHDC1	606	663	945	622	459	1389
FGR	4	1	1	2	1	6
IFI6	49	91	37	207	233	912
FAM76A	134	117	227	92	106	294
STX12	438	382	758	371	379	1223
PPP1R8	514	423	790	415	382	1323
SCARNA1	0	0	0	0	0	0
THEMIS2	92	92	141	94	84	242
RPA2	401	374	757	355	336	978
SMPDL3B	29	36	53	39	31	123
XKR8	95	87	132	100	68	261
EYA3	524	429	784	436	469	1317
PTAFR	1436	1220	1920	1582	1506	4535
DNAJC8	2017	1552	2846	1539	1692	4931
SESN2	368	324	502	380	258	962
MED18	543	556	684	438	497	1398
PHACTR4	1119	957	1642	935	957	2810
SNHG3	275	288	484	247	249	851
RCC1	951	802	1337	804	830	2247
TRNAU1AP	202	179	292	169	172	553
SNHG12	221	185	235	188	189	521
SNORD99	16	13	21	7	10	31
SNORA61	43	49	103	72	73	152
SNORA44	9	17	42	16	19	34
SNORA16A	5	6	12	7	4	48
RAB42	0	1	4	1	3	5
TAF12	606	468	840	459	492	1406
RNU11	1	0	0	0	0	3
GMEB1	173	202	337	158	135	651
YTHDF2	1097	936	1467	851	1039	2880
OPRD1	0	0	0	0	0	0
EPB41	904	800	1502	834	812	2337
TMEM200B	8	16	14	9	5	13
SRSF4	2068	1857	2961	1780	1871	5258
MECR	201	183	213	134	164	455
PTPRU	901	977	1193	1053	792	2263
MATN1	0	0	1	1	0	0
MATN1-AS1	11	9	5	8	9	20
LAPTM5	10	6	8	5	7	12
MIR4420	0	0	0	0	0	0
SDC3	1068	920	1260	861	821	2394
PUM1	1855	1683	2946	1652	1738	5064
SNORD103B	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0
NKAIN1	4	4	2	2	1	9
SNRNP40	318	269	408	255	285	823
ZCCHC17	1204	927	1492	826	933	3092
FABP3	2	1	3	1	1	12
SERINC2	4751	5278	6741	6632	3939	12456
TINAGL1	8245	9228	12151	8925	7327	20970
HCRTR1	0	0	0	0	0	0
PEF1	663	569	976	596	567	1921
COL16A1	1252	1447	1942	1647	1132	3187
MIR4254	0	0	0	0	0	0
SPOCD1	52	68	65	56	31	113
PTP4A2	1405	1251	2381	1135	1491	4151
KHDRBS1	1938	1754	2911	1695	1711	5057
TMEM39B	76	77	92	107	68	225
KPNA6	1868	1697	2962	1588	1659	4924
TXLNA	1125	1109	1503	1000	925	3072
CCDC28B	23	29	30	29	22	79
IQCC	44	31	50	30	30	115
DCDC2B	0	1	1	1	0	2
TMEM234	84	79	131	81	81	281
EIF3I	2979	2362	3986	2755	2626	8608
MTMR9LP	3	8	3	5	4	11
FAM167B	4	9	4	1	3	1
LCK	4	3	4	0	2	8
HDAC1	2041	1805	2958	1754	1744	5334
MARCKSL1	949	850	1282	1016	904	2898
FAM229A	0	2	0	0	3	5
TSSK3	0	0	0	1	0	0
BSDC1	1395	1198	1874	1290	1104	3612
ZBTB8B	0	0	0	2	0	0
ZBTB8A	62	91	106	56	61	154
ZBTB8OS	571	405	742	376	493	1173
RBBP4	933	845	1614	766	790	2287
SYNC	367	293	585	297	289	818
KIAA1522	3930	3730	5621	3613	3087	9280
YARS	2112	1673	2593	1627	1740	4969
S100PBP	288	247	425	203	229	599
FNDC5	0	0	1	0	0	0
HPCA	1	6	0	2	1	5
TMEM54	415	470	643	493	278	1004
RNF19B	406	296	579	380	361	1054
AK2	2918	2175	3270	2296	2433	6839
TRIM62	115	133	184	157	101	329
ZNF362	145	146	198	129	87	266
PHC2	769	701	1054	744	678	2143
MIR3605	0	0	1	0	0	4
ZSCAN20	111	116	208	103	94	338
CSMD2	0	0	0	1	2	2
HMGB4	0	0	0	0	0	0
C1orf94	0	0	0	0	0	0
GJB5	691	668	997	626	618	1982
GJB4	251	221	361	305	259	798
GJB3	1078	964	1560	1262	1046	3643
GJA4	0	0	0	0	1	0
SMIM12	609	520	903	579	641	1796
DLGAP3	0	0	1	0	1	0
LOC653160	20	28	32	12	20	52
ZMYM6	455	504	873	393	382	1060
ZMYM1	96	97	219	78	88	250
SFPQ	4192	3502	5775	3012	3518	9571
ZMYM4	1201	1076	1854	888	1078	2852
KIAA0319L	888	797	1170	672	699	2155
NCDN	329	339	510	389	263	905
TFAP2E	1	2	9	6	7	9
PSMB2	2672	2149	3154	2144	2108	6735
C1orf216	127	131	191	108	91	294
CLSPN	207	176	292	160	177	582
ago-04	401	325	570	274	304	893
ago-01	338	323	490	296	267	893
ago-03	138	143	250	115	147	394
TEKT2	0	4	2	0	0	3
ADPRHL2	641	615	762	660	586	1652
COL8A2	9	11	15	13	8	27
TRAPPC3	898	855	1325	727	740	2489
MAP7D1	1951	1979	3033	2525	1793	5999
THRAP3	4587	3771	6348	3732	3958	11650
SH3D21	313	373	505	360	345	1100
EVA1B	8	12	8	9	0	20
STK40	178	199	278	225	196	588
LSM10	168	183	221	151	98	401
OSCP1	67	74	104	76	73	206
MRPS15	1432	1208	2029	1092	1190	3797
CSF3R	0	0	0	0	0	0
GRIK3	0	0	0	1	1	0
MIR4255	0	0	0	0	0	0
ZC3H12A	337	371	482	1175	867	2618
MEAF6	416	439	715	348	350	974
MIR5581	4	0	4	0	1	4
SNIP1	331	304	509	255	269	832
DNALI1	46	40	55	40	37	110
GNL2	1256	968	1482	1040	1202	3078
RSPO1	0	0	0	1	0	0
C1orf109	246	205	338	172	177	613
CDCA8	138	156	215	131	103	350
EPHA10	0	0	1	3	1	0
MANEAL	12	14	23	12	11	26
YRDC	191	110	230	166	157	507
C1orf122	199	173	228	159	134	467
MTF1	581	516	896	507	509	1560
INPP5B	99	80	133	87	60	204
SF3A3	1321	1020	1719	896	1038	3241
FHL3	149	126	227	147	146	464
POU3F1	6	5	9	3	0	5
MIR3659	0	0	0	0	0	0
RRAGC	438	519	955	387	429	1103
GJA9-MYCBP	0	1	0	0	2	0
MYCBP	0	0	1	0	0	0
GJA9	0	0	0	0	0	0
RHBDL2	430	466	815	526	522	1527
AKIRIN1	1122	1065	1865	1030	1102	3136
NDUFS5	3102	2272	3483	2143	2587	7750
MACF1	6821	5681	9199	5638	6286	18324
KIAA0754	142	126	182	109	110	361
BMP8A	3	0	4	2	0	2
PPIEL	9	6	19	4	17	20
PABPC4	3347	2879	4759	2723	2843	8193
SNORA55	3	1	6	2	1	2
HEYL	0	0	0	0	0	2
NT5C1A	0	0	0	0	0	0
HPCAL4	5	2	6	2	1	4
PPIE	371	364	517	276	321	1077
BMP8B	3	3	2	1	0	2
OXCT2	0	5	15	7	4	17
TRIT1	335	330	462	245	280	786
MFSD2A	322	342	516	495	391	1121
CAP1	14755	12205	20107	11349	12948	40741
PPT1	897	775	1294	622	715	1854
RLF	356	496	881	339	372	957
TMCO2	0	0	0	0	1	0
ZMPSTE24	628	565	1365	485	534	1591
COL9A2	10	18	18	19	16	66
SMAP2	384	333	495	310	296	1108
ZFP69B	27	39	73	33	38	91
ZFP69	96	61	103	53	52	133
EXO5	54	45	64	57	41	113
ZNF684	25	28	42	8	15	60
RIMS3	43	34	63	29	27	90
NFYC	321	250	345	278	265	859
MIR30E	0	1	0	0	0	0
MIR30C1	0	3	0	0	0	0
KCNQ4	6	1	4	2	0	5
CITED4	344	308	524	331	262	1067
CTPS1	1000	832	1493	1037	1089	3111
SLFNL1-AS1	7	10	19	16	14	24
SLFNL1	3	0	0	0	0	4
SCMH1	372	293	474	287	283	808
EDN2	2	2	1	0	1	6
HIVEP3	36	50	49	29	34	92
GUCA2B	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0
FOXJ3	1294	1226	1883	1116	1177	3109
RIMKLA	1	0	0	0	1	0
ZMYND12	1	1	2	2	5	3
PPCS	295	426	854	307	295	785
CCDC30	6	4	13	7	1	22
PPIH	777	601	951	547	623	1510
YBX1	20257	16743	25594	19417	17978	56479
CLDN19	1	1	2	0	0	0
C1orf50	82	60	109	63	72	232
ERMAP	186	175	213	136	137	383
ZNF691	97	77	154	87	77	228
SLC2A1	7681	7767	11053	6655	5885	16607
SLC2A1-AS1	20	28	29	23	12	63
FAM183A	6	8	9	7	9	22
EBNA1BP2	1267	1039	1637	1118	1155	3616
TMEM125	76	74	70	53	50	179
C1orf210	86	78	150	61	51	161
TIE1	0	0	0	0	0	0
MPL	1	6	0	3	3	1
CDC20	280	198	380	208	220	589
ELOVL1	1364	1132	1780	1360	1354	4077
MED8	330	211	368	246	239	801
SZT2	561	551	780	543	490	1530
HYI	279	228	385	353	301	934
PTPRF	6736	6712	9712	7615	5740	18112
KDM4A	1251	1099	1480	938	1090	2968
KDM4A-AS1	20	26	7	9	11	33
ST3GAL3	60	68	109	86	57	203
ARTN	206	214	235	232	195	518
IPO13	717	756	991	738	591	1975
DPH2	262	198	327	222	177	689
ATP6V0B	456	482	667	500	431	1361
B4GALT2	694	617	1010	883	699	2128
CCDC24	117	122	185	200	133	467
SLC6A9	89	116	156	146	98	322
KLF17	0	0	0	0	2	1
DMAP1	212	187	310	196	180	508
ERI3	288	236	424	312	244	760
RNF220	543	444	744	471	439	1315
MIR5584	0	0	0	0	0	0
TMEM53	86	78	79	70	58	140
KIF2C	118	108	198	77	95	321
RPS8	8124	6631	11516	6281	6361	19630
SNORD55	0	0	0	0	1	1
SNORD46	0	2	1	2	2	1
SNORD38A	4	0	0	2	0	1
SNORD38B	1	3	4	6	2	18
BEST4	0	0	7	3	1	10
PLK3	323	312	408	400	344	980
TCTEX1D4	0	3	0	0	0	4
BTBD19	34	37	38	45	27	114
PTCH2	7	7	0	8	9	14
EIF2B3	201	140	306	189	190	545
HECTD3	880	801	1235	884	842	2451
UROD	895	716	1179	741	727	2049
ZSWIM5	6	2	2	2	4	17
HPDL	11	4	7	3	0	9
MUTYH	74	76	83	71	37	167
TOE1	93	70	122	68	75	232
TESK2	63	49	64	37	31	106
MMACHC	134	86	149	102	88	263
PRDX1	5809	4864	8378	4728	5195	15681
AKR1A1	420	398	646	500	419	1156
NASP	945	757	1318	637	813	2139
CCDC17	8	7	16	7	10	17
GPBP1L1	965	812	1324	815	862	2441
RPS15AP10	4	5	6	1	0	4
TMEM69	432	442	714	434	398	1144
IPP	169	159	316	102	126	376
MAST2	467	489	743	542	452	1433
PIK3R3	502	457	909	354	386	956
TSPAN1	5312	4454	6118	3805	4036	11742
POMGNT1	617	559	818	631	598	1582
LURAP1	25	31	36	21	25	70
RAD54L	45	34	60	33	34	79
LRRC41	1105	974	1515	1092	979	2722
UQCRH	2646	2056	3650	1923	2124	6868
NSUN4	377	327	529	292	322	994
FAAH	51	48	104	41	31	101
DMBX1	0	0	0	0	0	0
MKNK1-AS1	2	0	0	0	0	6
KNCN	0	0	0	0	0	0
MKNK1	364	345	625	365	370	1212
MOB3C	300	261	369	258	277	790
ATPAF1	441	368	642	284	301	1012
TEX38	0	0	0	0	1	0
EFCAB14-AS1	0	5	0	2	1	0
EFCAB14	1444	1481	2725	1249	1325	3950
CYP4B1	21	25	27	15	8	35
CYP4Z2P	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0
CYP4X1	38	32	40	27	30	81
CYP4Z1	0	0	0	0	1	0
CYP4A22	0	0	0	0	0	0
LINC00853	4	2	8	1	4	6
PDZK1IP1	43	38	36	192	146	460
TAL1	0	0	0	0	0	0
STIL	103	84	157	91	105	299
CMPK1	1504	1192	2430	1441	1507	4556
FOXE3	1	1	0	0	0	1
FOXD2-AS1	7	13	45	14	13	39
FOXD2	5	3	8	4	2	8
TRABD2B	31	33	30	29	17	77
SLC5A9	0	0	0	1	0	0
SPATA6	38	23	55	18	21	48
AGBL4	0	0	0	0	0	0
BEND5	0	0	0	0	1	1
ELAVL4	0	0	0	0	0	0
DMRTA2	43	68	69	61	40	101
FAF1	465	425	757	404	410	1121
CDKN2C	96	62	108	24	57	135
C1orf185	0	0	0	0	0	0
RNF11	886	983	1518	665	763	2097
TTC39A	87	69	118	67	66	184
EPS15	614	521	969	479	494	1675
OSBPL9	1675	1596	3055	1359	1560	4035
MIR761	0	0	0	0	0	0
RAB3B	250	177	431	204	205	605
TXNDC12	654	566	948	441	577	1730
KTI12	0	0	0	0	0	0
BTF3L4	210	188	465	174	176	581
