NegControl1	NegControl2	NegControl3	NegControl4	NegControl5	case1.lung1	case1.lung2	case1.lung3	case1.lung4	case2.lung1	case2.lung2	case2.lung3	case3.lung1	case3.lung2	case4.lung1	case4.lung2	case5.lung1	case5.lung2	case5.lung3	case5.lung4	case5.lung5	ENTREZID	ENSEMBL	HGNC_SYMBOL
1	1	0	1	0	2	2	0	0	0	1	0	1	0	0	0	1	0	1	1	1	731605	ENSG00000279800	ABBA01017803.1
0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	102724923	ENSG00000280286	ABC14-1080714F14.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	ENSG00000268486	ABC7-42418200C9.1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	ENSG00000271453	ABC7-43041300I9.1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	ENSG00000273644	ABC7-481722F1.1
368	310	296	636	103	696	104	153	20	360	342	428	851	208	89	3	189	11	261	132	381	19	ENSG00000165029	ABCA1
32	1	16	9	7	86	10	8	1	13	5	19	58	25	4	2	14	0	74	70	59	10349	ENSG00000154263	ABCA10
0	0	3	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	2	1	1	79963	ENSG00000251595	ABCA11P
2	1	0	3	2	0	0	0	0	3	4	4	1	1	0	0	8	0	4	2	5	26154	ENSG00000144452	ABCA12
53	3	86	38	1	21	2	6	3	43	21	22	206	96	2	0	5	2	82	27	69	154664	ENSG00000179869	ABCA13
0	0	0	0	0	1	0	0	0	0	0	1	4	1	1	0	1	0	0	1	2	650655	ENSG00000238098	ABCA17P
119	9	67	32	3	124	27	12	3	22	39	64	152	43	40	0	30	3	76	57	70	20	ENSG00000107331	ABCA2
602	186	199	376	91	665	112	123	30	162	324	304	1215	375	231	3	224	14	407	96	414	21	ENSG00000167972	ABCA3
2	0	1	0	0	4	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0	24	ENSG00000198691	ABCA4
54	10	100	107	29	75	23	13	3	17	19	26	108	30	3	0	52	0	120	66	84	23461	ENSG00000154265	ABCA5
278	10	172	86	67	687	129	68	6	64	55	40	236	96	33	0	76	9	409	245	339	23460	ENSG00000154262	ABCA6
98	1	87	57	6	124	28	7	6	29	46	56	134	62	53	3	42	5	107	42	97	10347	ENSG00000064687	ABCA7
255	5	71	39	52	432	65	70	11	37	23	27	199	22	17	0	35	0	223	169	168	10351	ENSG00000141338	ABCA8
84	2	52	30	23	287	58	44	6	20	13	13	97	39	11	0	37	3	160	116	125	10350	ENSG00000154258	ABCA9
3	1	0	0	0	5	1	1	0	1	0	0	3	1	1	0	0	0	6	0	3	104355297	ENSG00000231749	ABCA9-AS1
5	0	11	1	2	70	14	6	6	5	3	6	6	2	0	0	1	0	15	10	6	5243	ENSG00000085563	ABCB1
30	10	27	26	2	47	10	9	0	8	7	20	62	8	6	0	5	1	32	9	34	23456	ENSG00000135776	ABCB10
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	2	8647	ENSG00000073734	ABCB11
0	0	0	0	0	0	0	0	1	0	0	1	2	2	1	0	1	0	11	0	4	5244	ENSG00000005471	ABCB4
0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	340273	ENSG00000004846	ABCB5
26	1	7	11	1	9	5	5	1	2	2	3	6	1	1	0	5	0	5	0	9	10058	ENSG00000115657	ABCB6
26	6	30	24	6	128	18	23	3	25	22	32	74	17	6	0	26	0	44	28	62	22	ENSG00000131269	ABCB7
98	7	19	34	3	67	24	14	2	11	20	28	61	20	10	0	16	0	26	19	23	11194	ENSG00000197150	ABCB8
8	3	6	6	0	8	0	0	2	9	4	4	13	3	6	0	5	1	3	4	9	23457	ENSG00000150967	ABCB9
246	34	112	141	75	460	61	53	13	80	91	176	314	113	46	0	106	6	178	99	209	4363	ENSG00000103222	ABCC1
99	2	21	52	0	62	8	8	2	23	46	39	98	27	23	1	42	1	43	17	53	89845	ENSG00000124574	ABCC10
1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1	85320	ENSG00000121270	ABCC11
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	94160	ENSG00000140798	ABCC12
1	3	0	6	0	6	0	0	0	0	1	1	4	3	0	0	0	0	1	0	7	150000	ENSG00000243064	ABCC13
4	0	1	6	0	25	5	1	0	1	1	1	3	2	3	0	0	0	2	0	1	1244	ENSG00000023839	ABCC2
249	19	59	175	28	101	22	12	2	51	134	124	329	46	120	7	78	9	164	72	214	8714	ENSG00000108846	ABCC3
80	35	78	57	25	191	28	30	16	14	37	29	119	28	6	0	25	0	75	20	83	10257	ENSG00000125257	ABCC4
191	13	42	64	21	278	45	49	12	40	59	110	261	86	40	3	72	1	117	63	159	10057	ENSG00000114770	ABCC5
0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100873982	ENSG00000223882	ABCC5-AS1
21	12	17	47	0	16	5	4	0	7	17	6	76	11	3	0	5	1	14	5	29	368	ENSG00000091262	ABCC6
2	2	0	2	0	0	0	3	0	0	1	1	20	2	0	1	0	0	1	0	1	653190	ENSG00000256340	ABCC6P1
0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	730013	ENSG00000255277	ABCC6P2
7	5	4	2	6	8	2	1	0	2	3	0	2	0	11	1	2	0	3	12	12	6833	ENSG00000006071	ABCC8
76	21	104	84	37	294	24	25	1	40	31	41	174	48	11	0	35	3	150	87	164	10060	ENSG00000069431	ABCC9
25	6	16	11	0	43	9	5	0	5	30	29	82	13	20	3	12	0	29	23	39	215	ENSG00000101986	ABCD1
0	1	1	1	1	3	3	0	0	2	7	2	14	3	1	0	6	1	3	0	3	225	ENSG00000173208	ABCD2
96	30	68	91	8	113	24	34	3	34	58	39	162	19	13	0	44	0	84	53	73	5825	ENSG00000117528	ABCD3
117	6	53	80	22	183	37	27	4	36	51	58	93	31	23	0	34	0	83	48	85	5826	ENSG00000119688	ABCD4
155	38	90	143	47	204	33	35	8	81	49	61	195	24	18	0	52	2	115	39	92	6059	ENSG00000164163	ABCE1
276	45	229	249	89	801	142	123	50	148	104	122	471	104	38	0	134	4	290	159	293	23	ENSG00000204574	ABCF1
138	11	63	143	11	229	48	24	2	46	67	62	127	26	10	0	46	1	95	20	77	10061	ENSG00000033050	ABCF2
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	344653	ENSG00000242159	ABCF2P1
94	4	43	81	5	158	28	21	6	40	23	41	126	41	23	2	34	1	70	27	73	55324	ENSG00000161204	ABCF3
98	28	161	116	9	228	23	22	12	65	55	64	157	51	27	1	42	3	84	27	103	9619	ENSG00000160179	ABCG1
4	0	6	2	1	17	1	1	0	5	0	0	13	2	0	0	8	0	9	12	4	9429	ENSG00000118777	ABCG2
1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	64137	ENSG00000172350	ABCG4
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64241	ENSG00000143921	ABCG8
0	2	0	0	0	1	1	0	0	0	0	3	0	2	1	0	0	0	1	2	0	84696	ENSG00000143994	ABHD1
50	8	15	30	15	117	16	15	2	37	17	31	82	25	4	0	41	0	77	27	60	55347	ENSG00000144827	ABHD10
18	0	8	12	2	19	6	0	0	0	8	2	21	6	6	0	3	1	12	14	8	83451	ENSG00000106077	ABHD11
0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	171022	ENSG00000225969	ABHD11-AS1
56	12	26	36	25	83	22	12	3	19	20	33	104	24	22	1	28	0	30	30	41	26090	ENSG00000100997	ABHD12
0	1	2	0	0	7	0	1	0	0	2	0	3	0	3	0	0	0	1	0	2	145447	ENSG00000131969	ABHD12B
33	14	67	55	21	199	43	28	2	23	33	37	110	20	10	1	27	2	57	18	69	84945	ENSG00000139826	ABHD13
9	1	3	1	2	10	3	0	1	3	2	4	9	1	0	0	2	0	6	0	8	25864	ENSG00000248487	ABHD14A
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100526760	ENSG00000114786	ABHD14A-ACY1
46	38	15	27	35	104	10	4	4	23	26	22	124	33	13	0	29	3	49	33	44	84836	ENSG00000114779	ABHD14B
5	4	26	20	0	35	11	3	1	5	10	10	43	10	6	0	5	4	24	8	19	116236	ENSG00000168792	ABHD15
8	0	12	5	1	29	5	4	2	0	10	3	14	2	0	0	5	1	15	1	5	7920	ENSG00000204427	ABHD16A
125	11	62	35	7	120	60	9	0	7	15	33	114	18	21	0	25	5	45	17	54	81926	ENSG00000129968	ABHD17A
0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	728917	ENSG00000198658	ABHD17AP1
0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	729495	ENSG00000229107	ABHD17AP4
9	2	8	8	2	28	4	4	1	8	2	7	23	3	3	0	10	1	7	6	16	51104	ENSG00000107362	ABHD17B
26	11	28	42	9	54	11	5	2	8	29	25	46	11	3	0	15	0	28	12	41	58489	ENSG00000136379	ABHD17C
328	141	312	383	93	595	94	129	28	152	247	200	707	144	81	2	143	10	277	130	341	11057	ENSG00000140526	ABHD2
49	5	43	42	17	403	49	47	24	34	40	66	128	21	7	0	28	1	57	26	83	171586	ENSG00000158201	ABHD3
56	12	19	61	27	231	54	55	5	18	39	29	107	31	8	4	29	1	57	23	71	63874	ENSG00000100439	ABHD4
51	4	52	49	12	141	14	15	1	18	31	43	59	12	6	0	12	2	62	28	57	51099	ENSG00000011198	ABHD5
10	1	9	7	8	41	7	12	1	10	13	21	31	4	2	1	10	2	14	12	11	57406	ENSG00000163686	ABHD6
32	1	5	6	1	45	1	4	1	4	4	4	17	1	9	1	5	1	6	4	9	79575	ENSG00000127220	ABHD8
102	37	97	121	34	329	42	70	8	61	44	83	284	72	16	5	78	3	141	63	187	10006	ENSG00000136754	ABI1
126	24	200	149	19	413	48	41	17	55	41	63	213	49	20	4	30	4	124	55	113	10152	ENSG00000138443	ABI2
19	3	42	5	6	150	21	22	3	22	15	9	116	32	17	0	34	0	46	34	63	51225	ENSG00000108798	ABI3
594	90	487	183	176	2283	222	261	41	168	132	137	693	170	23	0	265	2	700	411	496	25890	ENSG00000154175	ABI3BP
245	14	127	183	24	360	98	56	14	60	58	80	286	53	41	2	65	6	145	82	151	25	ENSG00000097007	ABL1
177	57	128	300	60	614	119	65	16	57	79	125	200	42	24	1	52	6	148	46	114	27	ENSG00000143322	ABL2
359	102	261	307	100	1147	219	150	58	180	199	186	604	144	102	1	165	8	495	213	377	3983	ENSG00000099204	ABLIM1
17	1	15	9	3	25	1	3	1	4	1	11	2	0	8	0	1	1	15	3	8	84448	ENSG00000163995	ABLIM2
294	29	64	231	36	299	33	49	9	54	80	76	157	32	15	1	87	6	171	79	215	22885	ENSG00000173210	ABLIM3
77	64	59	99	27	403	67	55	15	147	101	64	522	109	1	0	35	2	48	38	52	28	ENSG00000175164	ABO
460	49	326	221	60	471	103	86	13	174	180	216	619	152	140	3	177	12	314	190	382	29	ENSG00000159842	ABR
1	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	137735	ENSG00000174429	ABRA
9	26	33	22	43	157	16	15	0	47	36	35	130	30	1	0	20	0	55	16	58	58527	ENSG00000146386	ABRACL
13	5	17	12	5	42	5	7	2	10	10	11	38	5	5	0	12	0	28	2	13	29777	ENSG00000146109	ABT1
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	100420695	ENSG00000250496	ABT1P1
53	2	38	22	5	127	17	8	5	25	32	51	89	19	40	0	13	5	73	19	63	80325	ENSG00000114626	ABTB1
18	0	5	22	1	29	7	2	0	4	5	2	11	6	8	1	10	1	17	9	12	25841	ENSG00000166016	ABTB2
1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	ENSG00000225929	AC000036.4
2	0	2	0	0	2	0	0	0	0	0	1	4	0	0	0	1	0	3	0	1	NA	ENSG00000273212	AC000068.10
0	0	4	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	NA	ENSG00000185065	AC000068.5
8	0	0	0	1	1	1	0	0	0	0	2	0	0	1	0	0	0	2	1	0	NA	ENSG00000232926	AC000078.5
0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	NA	ENSG00000235776	AC000089.3
0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	NA	ENSG00000236340	AC000099.1
0	3	3	2	0	1	0	2	0	0	0	0	4	1	0	0	0	0	7	0	1	NA	ENSG00000243107	AC000120.7
13	7	35	31	9	77	22	14	2	2	32	7	15	1	3	0	2	0	25	4	16	NA	ENSG00000279265	AC000123.2
0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	NA	ENSG00000280347	AC000123.3
3	0	10	5	1	6	0	1	1	0	0	0	7	0	0	0	2	0	1	0	8	NA	ENSG00000224138	AC000123.4
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	ENSG00000224981	AC000367.1
0	1	0	1	0	2	0	0	0	0	1	0	3	1	0	0	0	0	5	1	0	NA	ENSG00000278727	AC000403.4
0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	NA	ENSG00000283208	AC001226.7
8	1	0	5	0	4	0	0	0	0	3	3	5	0	0	0	3	0	4	2	1	NA	ENSG00000272330	AC002044.1
0	0	1	1	1	0	0	0	0	0	1	0	3	0	1	0	0	0	1	1	0	NA	ENSG00000280092	AC002044.3
1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	NA	ENSG00000283252	AC002056.3
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	ENSG00000254499	AC002056.5
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	ENSG00000273216	AC002059.10
1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	ENSG00000234459	AC002064.4
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	AC002064.7
0	0	0	0	0	3	0	2	1	0	2	0	0	0	0	0	2	0	1	0	0	NA	NA	AC002066.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	NA	AC002069.6
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002075.4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	AC002115.9
2	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	NA	NA	AC002116.7
0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002117.1
0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	4	1	NA	NA	AC002128.5
0	0	1	0	0	1	3	0	0	0	1	0	0	1	2	0	0	0	0	0	0	NA	NA	AC002306.1
0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	NA	NA	AC002310.10
0	0	1	3	0	7	3	1	0	2	1	1	7	1	0	0	0	0	2	1	4	NA	NA	AC002310.12
0	0	1	0	0	7	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	NA	NA	AC002310.14
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	NA	NA	AC002310.17
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA	AC002331.1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	NA	NA	AC002365.5
5	0	4	4	1	9	6	1	0	1	0	0	0	0	1	0	0	0	0	0	1	NA	NA	AC002366.1
7	0	13	3	0	7	1	0	0	0	0	1	0	0	1	0	3	0	1	0	0	NA	NA	AC002366.3
0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	NA	NA	AC002398.11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	AC002398.12
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002398.13
0	0	20	17	6	4	3	0	0	1	1	4	12	2	0	0	0	0	9	2	4	NA	NA	AC002400.1
0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002401.1
1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	NA	NA	AC002429.5
0	0	0	0	0	1	0	4	0	1	1	0	0	0	0	0	1	0	0	0	3	NA	NA	AC002451.3
1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	NA	NA	AC002454.1
1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002456.2
0	0	0	2	1	8	0	0	2	0	1	1	8	0	0	0	0	0	0	0	0	NA	NA	AC002467.7
0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	NA	NA	AC002480.2
2	0	5	0	0	3	0	1	0	0	1	1	4	4	0	0	4	1	6	1	1	NA	NA	AC002480.3
0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002480.4
0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	NA	NA	AC002480.5
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002486.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	NA	NA	AC002511.3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	NA	AC002519.6
0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	NA	AC002519.8
0	0	6	3	1	6	1	0	1	0	0	0	1	2	1	0	0	0	1	0	0	NA	NA	AC002543.2
0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	NA	NA	AC002550.6
0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002551.1
0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC002553.4
0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	3	0	NA	NA	AC002984.2
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	NA	NA	AC003002.6
1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	NA	NA	AC003003.5
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC003005.4
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	NA	NA	AC003075.4
7	0	19	2	2	8	6	1	0	1	0	2	6	3	1	0	0	0	0	1	4	NA	NA	AC003080.4
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	NA	AC003088.1
0	0	1	3	0	5	0	0	0	0	0	2	0	0	1	1	0	0	0	0	4	NA	NA	AC003090.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	NA	NA	AC003101.1
5	5	9	8	1	23	1	3	1	1	1	2	10	2	0	0	0	0	4	0	1	NA	NA	AC003104.1
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	NA	NA	AC003682.16
0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	NA	NA	AC003682.17
0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	NA	NA	AC003688.1
0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	NA	NA	AC003958.2
1	0	6	8	0	7	1	1	0	4	0	1	2	1	0	0	1	0	2	2	5	NA	NA	AC003973.3
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	NA	AC003986.5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	NA	AC003986.6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	AC003986.7
3	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	NA	NA	AC003989.3
1	0	0	1	0	0	0	1	0	4	3	0	2	2	0	0	0	0	0	0	0	NA	NA	AC003989.4
0	2	3	6	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	NA	NA	AC003991.3
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	NA	AC004012.1
5	0	8	1	0	6	0	1	1	1	6	0	23	2	5	1	1	0	1	4	6	NA	NA	AC004019.10
1	0	0	0	0	9	0	0	0	0	0	0	4	1	4	1	7	1	1	1	2	NA	NA	AC004019.13
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC004022.7
0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	1	0	0	0	1	0	NA	NA	AC004022.8
1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	NA	NA	AC004041.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	NA	NA	AC004051.2
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	NA	AC004053.1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC004054.1
5	0	1	0	0	4	0	1	0	0	1	1	6	0	0	0	1	0	0	0	0	NA	NA	AC004057.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	NA	NA	AC004066.2
2	0	8	1	0	3	0	0	0	0	0	0	3	0	0	0	0	0	4	1	0	NA	NA	AC004067.5
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	AC004069.1
