#NAME	Case1	Case2	Case3	Case4	Case5	NegCtrl1	NegCtrl2	NegCtrl3	NegCtrl4	NegCtrl5
#CLASS_CvsI	Infected	Infected	Infected	Infected	Infected	Control	Control	Control	Control	Control
AC000032.2	0	0	0	0	0	0	0	0	0	0
AC000036.4	0	0	0	0	1	1	1	4	1	0
AC000041.10	0	0	0	0	0	0	0	0	0	0
AC000041.8	0	0	0	0	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0
AC000068.10	2	1	4	0	5	2	0	2	0	0
AC000068.5	1	2	1	1	2	0	0	4	0	0
AC000068.9	0	0	0	0	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0	0	0	0	0
AC000078.5	2	2	0	1	3	8	0	0	0	1
AC000081.2	0	0	0	0	0	0	0	0	0	0
AC000089.3	1	1	2	0	0	0	1	0	0	1
AC000095.11	0	0	0	0	0	0	0	0	0	0
AC000095.9	0	0	0	0	0	0	0	0	0	0
AC000099.1	0	0	4	0	1	0	0	0	0	0
AC000110.1	0	0	0	0	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0
AC000120.7	3	0	5	0	8	0	3	3	2	0
AC000123.2	115	41	16	3	47	13	7	35	31	9
AC000123.3	2	1	0	0	1	0	0	0	2	0
AC000123.4	8	0	7	0	11	3	0	10	5	1
AC000124.1	0	0	0	0	0	0	0	0	0	0
AC000354.1	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	1	0	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	0	0	0	0	0	0	0	0	0
AC000403.4	2	1	4	0	6	0	1	0	1	0
AC001226.7	0	0	2	0	0	0	0	0	0	0
AC001228.1	0	0	0	0	0	0	0	0	0	0
AC001228.2	0	0	0	0	0	0	0	0	0	0
AC001228.3	0	0	0	0	0	0	0	0	0	0
AC002044.1	4	6	5	0	10	8	1	0	5	0
AC002044.3	0	1	3	1	2	0	0	1	1	1
AC002044.4	0	0	0	0	0	0	0	0	0	0
AC002056.3	0	1	2	0	2	1	0	0	1	0
AC002056.5	0	0	0	0	0	0	0	0	1	0
AC002059.10	0	0	0	0	1	0	0	0	0	1
AC002064.4	1	0	0	0	0	1	0	1	0	2
AC002064.5	0	0	0	0	0	0	0	0	0	0
AC002064.7	0	0	1	0	0	0	0	0	0	0
AC002066.1	6	2	0	0	3	0	0	0	0	0
AC002069.5	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	1	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0
AC002072.1	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0
AC002075.4	1	0	0	0	0	0	0	0	0	0
AC002076.10	0	0	0	0	0	0	0	0	0	0
AC002115.5	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	1	0	0	0	0	0
AC002116.7	2	0	1	0	1	2	0	2	1	0
AC002116.8	0	0	0	0	0	0	0	0	0	0
AC002117.1	0	0	0	0	0	0	1	0	2	1
AC002127.2	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0
AC002128.5	2	0	1	0	7	0	0	0	0	0
AC002306.1	4	1	1	2	0	0	0	1	0	0
AC002310.10	1	0	1	0	1	0	0	0	0	0
AC002310.12	11	4	8	0	7	0	0	1	3	0
AC002310.13	0	0	0	0	0	0	0	0	0	0
AC002310.14	7	2	2	1	2	0	0	1	0	0
AC002310.17	0	0	1	0	1	0	0	0	0	0
AC002310.7	0	0	0	0	0	0	0	0	0	0
AC002314.4	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	1	0	0	0	0	0	0	0
AC002365.5	0	1	0	0	2	0	0	0	0	0
AC002366.1	16	1	0	1	1	5	0	4	4	1
AC002366.3	8	1	0	1	4	7	0	13	3	0
AC002368.4	0	0	0	0	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0
AC002389.1	0	0	0	0	0	0	0	0	0	0
AC002395.1	0	0	0	0	0	0	0	0	0	0
AC002398.11	3	0	2	0	0	0	0	0	0	0
AC002398.12	0	0	0	0	1	0	0	0	0	0
AC002398.13	2	0	0	0	0	0	0	0	0	0
AC002398.9	0	0	0	0	0	0	0	0	0	0
AC002400.1	7	6	14	0	15	0	0	20	17	6
AC002401.1	1	1	0	0	0	0	0	0	0	0
AC002407.1	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0	2	0	0	1	0	0	0	0
AC002451.3	5	2	0	0	4	0	0	0	0	0
AC002454.1	0	2	1	0	0	1	0	0	0	0
AC002456.2	2	1	0	0	0	1	0	0	2	0
AC002463.3	0	0	0	0	0	0	0	0	0	0
AC002464.1	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0
AC002467.7	10	2	8	0	0	0	0	0	2	1
AC002472.11	0	0	0	0	0	0	0	0	0	0
AC002480.2	2	0	2	0	0	0	0	1	0	0
AC002480.3	4	2	8	0	13	2	0	5	0	0
AC002480.4	6	0	0	0	0	0	0	0	0	0
AC002480.5	1	0	1	0	2	0	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	1	0	0
AC002486.3	0	0	0	0	0	0	0	0	0	0
AC002511.2	0	0	0	0	0	0	0	0	0	0
AC002511.3	0	0	0	1	1	0	0	0	0	0
AC002519.6	0	0	0	0	1	0	0	0	0	0
AC002519.8	3	0	0	0	1	0	0	1	0	0
AC002523.1	0	0	0	0	0	0	0	0	0	0
AC002530.1	0	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	0	0	0
AC002539.2	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0
AC002543.2	8	0	3	1	1	0	0	6	3	1
AC002550.5	0	0	0	0	0	0	0	0	0	0
AC002550.6	2	1	0	0	2	0	0	0	1	0
AC002551.1	1	1	0	0	0	0	0	0	1	0
AC002553.4	3	1	0	0	0	0	0	0	0	0
AC002558.1	0	0	0	0	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	0	0	0	0	0
AC002979.1	0	0	0	0	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0
AC002984.2	1	2	1	0	4	0	0	1	0	0
AC002985.3	0	0	0	0	0	0	0	0	0	0
AC003001.1	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0
AC003002.6	0	0	0	1	2	0	0	0	0	1
AC003003.5	1	0	1	1	0	1	0	0	0	0
AC003005.2	0	0	0	0	0	0	0	0	0	0
AC003005.4	0	0	0	0	0	0	0	1	0	0
AC003006.1	0	0	0	0	0	0	0	0	0	0
AC003006.7	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0
AC003075.4	0	1	0	0	3	0	0	0	0	0
AC003080.4	15	3	9	1	5	7	0	19	2	2
AC003084.2	0	0	0	0	0	0	0	0	0	0
AC003088.1	0	0	1	0	0	0	0	0	0	0
AC003090.1	5	2	0	2	4	0	0	1	3	0
AC003092.1	0	0	0	0	0	0	0	0	0	0
AC003092.2	0	0	0	0	0	0	0	0	0	0
AC003101.1	0	0	0	0	2	0	0	0	0	0
AC003104.1	28	4	12	0	5	5	5	9	8	1
AC003658.1	0	0	0	0	0	0	0	0	0	0
AC003664.1	0	0	0	0	0	0	0	0	0	0
AC003666.1	0	0	0	0	0	0	0	0	0	0
AC003681.1	0	0	0	0	0	0	0	0	0	0
AC003682.16	0	0	1	0	1	0	0	0	0	0
AC003682.17	0	0	2	0	0	0	0	0	0	0
AC003688.1	0	0	2	0	0	0	0	0	0	0
AC003956.1	0	0	0	0	0	0	0	0	0	0
AC003958.1	0	0	0	0	0	0	0	0	0	0
AC003958.2	0	0	4	0	0	0	1	0	0	0
AC003958.6	0	0	0	0	0	0	0	0	0	0
AC003968.1	0	0	0	0	0	0	0	0	0	0
AC003973.1	0	0	0	0	0	0	0	0	0	0
AC003973.3	9	5	3	0	10	1	0	6	8	0
AC003973.4	0	0	0	0	0	0	0	0	0	0
AC003973.5	0	0	0	0	0	0	0	0	0	0
AC003976.1	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	0	0	0	0	0	0	0	0	0
AC003986.5	0	1	0	0	0	0	0	0	0	0
AC003986.6	0	0	0	0	1	0	0	0	0	0
AC003986.7	0	0	0	0	1	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0
AC003989.3	0	2	2	0	0	3	0	0	0	0
AC003989.4	1	7	4	0	0	1	0	0	1	0
AC003991.3	1	0	4	0	1	0	2	3	6	0
AC004000.1	0	0	0	0	0	0	0	0	0	0
AC004000.2	0	0	0	0	0	0	0	0	0	0
AC004004.2	0	0	0	0	0	0	0	0	0	0
AC004006.2	0	0	0	0	0	0	0	0	0	0
AC004009.1	0	0	0	0	0	0	0	0	0	0
AC004009.2	0	0	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0
AC004012.1	0	0	0	0	1	0	0	0	1	0
AC004014.3	0	0	0	0	0	0	0	0	0	0
AC004014.4	0	0	0	0	0	0	0	0	0	0
AC004016.1	0	0	0	0	0	0	0	0	0	0
AC004019.10	8	7	25	6	12	5	0	8	1	0
AC004019.13	9	0	5	5	12	1	0	0	0	0
AC004022.7	0	0	0	0	0	0	0	0	2	0
AC004022.8	0	1	4	1	1	0	0	0	1	0
AC004041.2	1	0	0	0	2	1	0	1	0	0
AC004051.2	0	0	0	3	0	0	0	0	0	0
AC004052.1	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	1	0	0	0	0	0	0	0
AC004053.2	0	0	0	0	0	0	0	0	0	0
AC004054.1	1	0	0	0	0	0	0	0	0	0
AC004057.1	5	2	6	0	1	5	0	1	0	0
AC004062.2	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	0	0	0	0	0
AC004066.2	0	0	0	1	0	0	0	0	0	0
AC004066.3	0	0	0	0	0	0	0	0	0	0
AC004067.5	3	0	3	0	5	2	0	8	1	0
AC004069.1	0	0	0	0	0	0	0	1	0	0
AC004069.2	1	0	0	0	0	0	0	0	0	0
AC004070.1	0	0	0	0	0	0	0	0	0	0
AC004074.4	0	0	0	0	0	0	0	0	0	0
AC004076.5	4	1	5	0	4	2	0	2	6	0
AC004076.7	0	0	0	0	0	0	0	0	0	0
AC004076.9	1	0	0	0	0	0	0	0	0	0
AC004079.1	0	0	0	0	0	0	0	0	0	0
AC004108.1	0	0	0	0	0	0	0	0	0	0
AC004112.4	1	0	0	0	0	0	0	0	0	0
AC004112.5	0	0	0	0	0	0	0	0	0	0
AC004112.7	0	0	0	0	2	0	0	0	0	0
AC004125.3	0	0	0	0	0	0	0	0	0	0
AC004129.7	0	0	0	0	0	0	0	0	0	0
AC004129.9	0	0	0	0	0	0	0	0	0	0
AC004156.3	0	1	0	0	1	0	0	1	0	0
AC004158.1	1	0	1	1	0	0	0	1	0	0
AC004158.3	0	2	0	0	0	0	1	1	0	0
AC004159.1	0	0	0	0	0	0	0	0	0	0
AC004160.4	0	1	0	0	1	0	0	0	0	0
AC004166.6	0	2	1	0	0	0	0	1	1	0
AC004221.2	0	0	0	0	0	0	0	0	0	0
AC004231.2	0	0	0	0	0	0	0	0	0	0
AC004231.7	0	0	0	0	0	0	0	0	0	0
AC004237.1	0	0	1	0	2	0	0	1	1	0
AC004257.1	0	0	1	0	0	2	0	0	0	0
AC004381.6	8	4	18	0	15	11	0	1	2	3
AC004381.7	0	2	0	0	1	0	0	0	0	0
AC004383.3	1	1	0	0	0	1	0	1	0	0
AC004386.3	0	0	0	0	0	0	0	0	0	0
AC004386.4	0	0	1	0	0	0	0	0	0	0
AC004447.2	19	24	31	10	27	11	1	8	15	1
AC004448.2	0	0	0	0	1	0	0	0	0	0
AC004448.5	2	0	1	0	1	0	0	0	1	0
AC004449.6	1	0	0	0	0	0	0	0	0	0
AC004453.1	0	0	0	0	0	0	0	0	0	0
AC004453.8	25	12	18	1	31	5	4	4	1	2
AC004458.1	0	0	0	0	0	0	0	0	0	0
AC004460.1	0	0	0	0	0	0	0	0	0	0
AC004461.4	0	0	0	0	2	0	0	2	0	0
AC004470.1	0	0	0	0	0	0	0	0	0	0
AC004471.10	1	0	0	0	0	0	0	0	0	0
AC004471.9	2	1	0	0	2	4	0	0	0	0
AC004477.1	0	0	0	0	0	0	0	0	0	0
AC004485.3	0	0	0	0	0	0	0	0	0	0
AC004490.1	2	2	7	1	1	1	0	2	1	0
AC004492.1	0	0	0	0	0	0	0	0	0	0
AC004510.3	0	0	0	0	0	0	0	0	0	0
AC004520.1	0	0	0	0	0	0	0	0	0	0
AC004535.2	0	0	0	0	0	0	0	0	0	0
AC004538.3	4	3	2	0	12	2	1	0	4	0
AC004540.4	18	4	9	1	3	1	0	0	0	1
AC004540.5	3	5	4	5	4	3	0	4	1	0
AC004541.1	0	0	0	0	0	0	0	0	0	0
AC004543.1	0	0	0	0	0	0	0	0	0	0
AC004543.2	0	0	0	0	0	0	0	0	0	0
AC004549.6	1	2	6	0	0	0	0	0	0	0
AC004552.1	0	0	0	0	0	0	0	0	0	0
AC004556.1	0	0	0	0	0	0	0	0	0	0
AC004593.3	3	11	0	0	8	0	1	3	1	0
AC004595.1	0	0	0	0	0	0	0	0	0	0
AC004603.4	0	0	0	0	0	0	0	0	1	0
AC004623.2	0	0	0	0	0	0	0	0	0	0
AC004623.3	5	3	3	1	2	1	0	0	4	0
AC004637.1	0	0	0	0	0	0	0	1	4	0
AC004655.1	0	0	0	0	0	0	0	0	0	0
AC004656.1	0	0	0	0	0	0	0	0	0	0
AC004673.1	0	0	0	0	0	0	0	0	0	0
AC004687.1	0	0	0	0	0	0	0	0	0	0
AC004691.1	0	0	0	0	0	0	0	0	0	0
AC004691.5	1	0	0	0	0	0	0	0	3	0
AC004692.4	0	0	0	0	0	0	0	0	0	0
AC004692.5	0	0	0	0	0	0	0	0	0	0
AC004699.1	0	0	0	0	0	0	0	0	0	0
AC004702.2	0	0	0	0	0	0	0	0	0	0
AC004744.3	0	0	0	0	0	0	0	0	0	0
AC004745.1	0	0	0	0	0	0	0	0	0	0
AC004754.3	1	0	0	0	0	1	0	0	0	0
AC004769.1	0	0	0	0	0	0	0	0	0	0
AC004775.5	0	0	0	0	0	0	0	0	0	0
AC004791.2	0	0	0	0	0	0	0	0	0	0
AC004812.1	0	0	0	0	0	0	0	0	0	0
AC004813.1	0	0	0	0	0	0	0	0	0	0
AC004816.1	0	0	0	0	0	0	0	0	0	0
AC004819.1	0	0	0	0	0	0	0	0	0	0
AC004824.1	0	0	0	0	0	0	0	0	0	0
AC004824.2	0	0	2	0	0	0	0	0	0	0
AC004824.3	0	0	0	0	0	0	0	0	0	0
AC004824.4	0	0	0	0	0	0	0	0	0	0
AC004832.1	0	0	0	0	0	0	0	0	0	0
AC004837.1	0	0	0	0	0	0	0	0	0	0
AC004837.3	0	0	0	0	0	0	0	0	0	0
AC004837.4	0	0	0	0	0	0	0	0	0	0
AC004837.5	3	0	3	0	4	3	1	1	9	1
AC004840.8	1	0	0	0	2	0	0	0	0	0
AC004846.1	0	0	0	0	0	0	0	0	0	0
AC004850.1	0	0	0	0	0	0	0	0	0	0
AC004854.4	0	0	0	0	0	0	0	0	0	0
AC004854.5	0	0	0	0	0	0	0	0	0	0
AC004862.6	0	0	2	0	0	0	0	0	0	0
AC004866.1	0	0	0	0	0	0	0	0	0	0
AC004866.3	0	0	0	0	0	0	0	0	0	0
AC004869.2	0	0	0	0	0	0	0	0	0	0
AC004869.3	0	0	0	0	0	0	0	0	0	0
AC004870.3	0	0	0	0	0	0	0	0	0	0
AC004870.4	0	0	0	0	0	0	0	0	0	0
AC004870.5	0	0	0	0	2	0	0	0	0	0
AC004875.1	0	0	0	0	0	0	0	0	0	0
AC004878.2	0	0	0	0	0	0	0	0	1	0
AC004878.8	0	0	0	0	0	0	0	0	0	0
AC004893.10	3	0	6	0	3	0	0	2	3	0
AC004893.11	44	18	23	5	14	3	0	11	6	2
AC004895.1	0	0	0	0	0	0	0	0	0	0
AC004895.4	0	0	1	0	0	0	0	0	0	0
AC004899.3	0	0	0	0	0	0	0	0	0	0
AC004901.1	0	0	0	0	0	0	0	0	0	0
AC004906.3	2	1	0	0	1	0	0	0	0	0
AC004911.2	0	0	0	0	0	0	0	0	0	0
AC004915.1	0	0	0	0	0	0	0	0	0	0
AC004920.2	0	0	0	0	0	0	0	0	0	0
AC004920.3	0	0	0	0	1	0	0	0	0	0
AC004924.1	0	0	0	0	0	0	0	0	0	0
AC004932.1	0	0	0	0	0	0	0	0	0	0
AC004938.5	0	0	0	0	0	0	0	0	0	0
AC004941.3	0	1	1	0	1	0	0	0	1	0
AC004941.5	0	0	0	0	0	0	0	0	0	0
AC004943.1	0	0	0	0	0	0	0	0	0	0
AC004945.1	1	4	5	0	8	6	0	0	3	1
AC004946.1	0	0	0	0	0	0	0	0	0	0
AC004947.2	0	0	0	1	2	0	0	0	0	0
AC004951.5	0	0	0	1	1	0	0	0	1	0
AC004951.6	38	17	27	2	47	15	1	12	10	0
AC004953.1	0	0	0	0	0	0	0	0	0	0
AC004967.7	20	16	20	0	19	1	0	2	8	0
AC004969.1	0	0	0	0	0	0	0	0	0	0
AC004980.1	0	0	0	0	0	0	0	0	0	0
AC004980.10	0	0	1	0	0	2	0	1	1	0
AC004980.11	1	0	0	0	0	0	0	0	0	0
