	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
ABCA1	368	310	296	636	103	696	104	153	20	360	342	428	851	208	89	3	189	11	261	132	381
ABCA10	32	1	16	9	7	86	10	8	1	13	5	19	58	25	4	2	14	0	74	70	59
ABCA11P	0	0	3	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	2	1	1
ABCA12	2	1	0	3	2	0	0	0	0	3	4	4	1	1	0	0	8	0	4	2	5
ABCA13	53	3	86	38	1	21	2	6	3	43	21	22	206	96	2	0	5	2	82	27	69
ABCA17P	0	0	0	0	0	1	0	0	0	0	0	1	4	1	1	0	1	0	0	1	2
ABCA2	119	9	67	32	3	124	27	12	3	22	39	64	152	43	40	0	30	3	76	57	70
ABCA3	602	186	199	376	91	665	112	123	30	162	324	304	1215	375	231	3	224	14	407	96	414
ABCA4	2	0	1	0	0	4	1	0	0	0	0	2	0	0	1	0	0	0	1	0	0
ABCA5	54	10	100	107	29	75	23	13	3	17	19	26	108	30	3	0	52	0	120	66	84
ABCA6	278	10	172	86	67	687	129	68	6	64	55	40	236	96	33	0	76	9	409	245	339
ABCA7	98	1	87	57	6	124	28	7	6	29	46	56	134	62	53	3	42	5	107	42	97
ABCA8	255	5	71	39	52	432	65	70	11	37	23	27	199	22	17	0	35	0	223	169	168
ABCA9	84	2	52	30	23	287	58	44	6	20	13	13	97	39	11	0	37	3	160	116	125
ABCA9-AS1	3	1	0	0	0	5	1	1	0	1	0	0	3	1	1	0	0	0	6	0	3
ABCB1	5	0	11	1	2	70	14	6	6	5	3	6	6	2	0	0	1	0	15	10	6
ABCB10	30	10	27	26	2	47	10	9	0	8	7	20	62	8	6	0	5	1	32	9	34
ABCB10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	2
ABCB4	0	0	0	0	0	0	0	0	1	0	0	1	2	2	1	0	1	0	11	0	4
ABCB5	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2
ABCB6	26	1	7	11	1	9	5	5	1	2	2	3	6	1	1	0	5	0	5	0	9
ABCB7	26	6	30	24	6	128	18	23	3	25	22	32	74	17	6	0	26	0	44	28	62
ABCB8	98	7	19	34	3	67	24	14	2	11	20	28	61	20	10	0	16	0	26	19	23
ABCB9	8	3	6	6	0	8	0	0	2	9	4	4	13	3	6	0	5	1	3	4	9
ABCC1	246	34	112	141	75	460	61	53	13	80	91	176	314	113	46	0	106	6	178	99	209
ABCC10	99	2	21	52	0	62	8	8	2	23	46	39	98	27	23	1	42	1	43	17	53
ABCC11	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1
ABCC12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ABCC13	1	3	0	6	0	6	0	0	0	0	1	1	4	3	0	0	0	0	1	0	7
ABCC2	4	0	1	6	0	25	5	1	0	1	1	1	3	2	3	0	0	0	2	0	1
ABCC3	249	19	59	175	28	101	22	12	2	51	134	124	329	46	120	7	78	9	164	72	214
ABCC4	80	35	78	57	25	191	28	30	16	14	37	29	119	28	6	0	25	0	75	20	83
ABCC5	191	13	42	64	21	278	45	49	12	40	59	110	261	86	40	3	72	1	117	63	159
ABCC5-AS1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	21	12	17	47	0	16	5	4	0	7	17	6	76	11	3	0	5	1	14	5	29
ABCC6P1	2	2	0	2	0	0	0	3	0	0	1	1	20	2	0	1	0	0	1	0	1
ABCC6P2	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC8	7	5	4	2	6	8	2	1	0	2	3	0	2	0	11	1	2	0	3	12	12
ABCC9	76	21	104	84	37	294	24	25	1	40	31	41	174	48	11	0	35	3	150	87	164
ABCD1	25	6	16	11	0	43	9	5	0	5	30	29	82	13	20	3	12	0	29	23	39
ABCD1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	1	1	1	1	3	3	0	0	2	7	2	14	3	1	0	6	1	3	0	3
ABCD3	96	30	68	91	8	113	24	34	3	34	58	39	162	19	13	0	44	0	84	53	73
ABCD4	117	6	53	80	22	183	37	27	4	36	51	58	93	31	23	0	34	0	83	48	85
ABCE1	155	38	90	143	47	204	33	35	8	81	49	61	195	24	18	0	52	2	115	39	92
ABCF1	276	45	229	249	89	801	142	123	50	148	104	122	471	104	38	0	134	4	290	159	293
ABCF2	138	11	63	143	11	229	48	24	2	46	67	62	127	26	10	0	46	1	95	20	77
ABCF2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	94	4	43	81	5	158	28	21	6	40	23	41	126	41	23	2	34	1	70	27	73
ABCG1	98	28	161	116	9	228	23	22	12	65	55	64	157	51	27	1	42	3	84	27	103
ABCG2	4	0	6	2	1	17	1	1	0	5	0	0	13	2	0	0	8	0	9	12	4
ABCG4	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	2	0	0	0	1	1	0	0	0	0	3	0	2	1	0	0	0	1	2	0
ABHD10	50	8	15	30	15	117	16	15	2	37	17	31	82	25	4	0	41	0	77	27	60
ABHD11	18	0	8	12	2	19	6	0	0	0	8	2	21	6	6	0	3	1	12	14	8
ABHD11-AS1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0
ABHD12	56	12	26	36	25	83	22	12	3	19	20	33	104	24	22	1	28	0	30	30	41
ABHD12B	0	1	2	0	0	7	0	1	0	0	2	0	3	0	3	0	0	0	1	0	2
ABHD13	33	14	67	55	21	199	43	28	2	23	33	37	110	20	10	1	27	2	57	18	69
ABHD14A	9	1	3	1	2	10	3	0	1	3	2	4	9	1	0	0	2	0	6	0	8
ABHD14A-ACY1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	46	38	15	27	35	104	10	4	4	23	26	22	124	33	13	0	29	3	49	33	44
ABHD15	5	4	26	20	0	35	11	3	1	5	10	10	43	10	6	0	5	4	24	8	19
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	8	0	12	5	1	29	5	4	2	0	10	3	14	2	0	0	5	1	15	1	5
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	125	11	62	35	7	120	60	9	0	7	15	33	114	18	21	0	25	5	45	17	54
ABHD17AP1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD17AP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	9	2	8	8	2	28	4	4	1	8	2	7	23	3	3	0	10	1	7	6	16
ABHD17C	26	11	28	42	9	54	11	5	2	8	29	25	46	11	3	0	15	0	28	12	41
ABHD2	328	141	312	383	93	595	94	129	28	152	247	200	707	144	81	2	143	10	277	130	341
ABHD3	49	5	43	42	17	403	49	47	24	34	40	66	128	21	7	0	28	1	57	26	83
ABHD4	56	12	19	61	27	231	54	55	5	18	39	29	107	31	8	4	29	1	57	23	71
ABHD5	51	4	52	49	12	141	14	15	1	18	31	43	59	12	6	0	12	2	62	28	57
ABHD6	10	1	9	7	8	41	7	12	1	10	13	21	31	4	2	1	10	2	14	12	11
ABHD8	32	1	5	6	1	45	1	4	1	4	4	4	17	1	9	1	5	1	6	4	9
ABI1	102	37	97	121	34	329	42	70	8	61	44	83	284	72	16	5	78	3	141	63	187
ABI2	126	24	200	149	19	413	48	41	17	55	41	63	213	49	20	4	30	4	124	55	113
ABI3	19	3	42	5	6	150	21	22	3	22	15	9	116	32	17	0	34	0	46	34	63
ABI3BP	594	90	487	183	176	2283	222	261	41	168	132	137	693	170	23	0	265	2	700	411	496
ABL1	245	14	127	183	24	360	98	56	14	60	58	80	286	53	41	2	65	6	145	82	151
ABL2	177	57	128	300	60	614	119	65	16	57	79	125	200	42	24	1	52	6	148	46	114
ABLIM1	359	102	261	307	100	1147	219	150	58	180	199	186	604	144	102	1	165	8	495	213	377
ABLIM2	17	1	15	9	3	25	1	3	1	4	1	11	2	0	8	0	1	1	15	3	8
ABLIM3	294	29	64	231	36	299	33	49	9	54	80	76	157	32	15	1	87	6	171	79	215
ABO	77	64	59	99	27	403	67	55	15	147	101	64	522	109	1	0	35	2	48	38	52
ABR	460	49	326	221	60	471	103	86	13	174	180	216	619	152	140	3	177	12	314	190	382
ABRA	1	0	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0
ABRACL	9	26	33	22	43	157	16	15	0	47	36	35	130	30	1	0	20	0	55	16	58
ABT1	13	5	17	12	5	42	5	7	2	10	10	11	38	5	5	0	12	0	28	2	13
ABT1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABTB1	53	2	38	22	5	127	17	8	5	25	32	51	89	19	40	0	13	5	73	19	63
ABTB2	18	0	5	22	1	29	7	2	0	4	5	2	11	6	8	1	10	1	17	9	12
AC000003.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC000041.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000041.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.10	2	0	2	0	0	2	0	0	0	0	0	1	4	0	0	0	1	0	3	0	1
AC000068.5	0	0	4	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1
AC000068.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	8	0	0	0	1	1	1	0	0	0	0	2	0	0	1	0	0	0	2	1	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000089.3	0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
AC000095.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0
AC000110.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.7	0	3	3	2	0	1	0	2	0	0	0	0	4	1	0	0	0	0	7	0	1
AC000123.2	13	7	35	31	9	77	22	14	2	2	32	7	15	1	3	0	2	0	25	4	16
AC000123.3	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
AC000123.4	3	0	10	5	1	6	0	1	1	0	0	0	7	0	0	0	2	0	1	0	8
AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000354.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.4	0	1	0	1	0	2	0	0	0	0	1	0	3	1	0	0	0	0	5	1	0
AC001226.7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC001228.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC001228.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC001228.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.1	8	1	0	5	0	4	0	0	0	0	3	3	5	0	0	0	3	0	4	2	1
AC002044.3	0	0	1	1	1	0	0	0	0	0	1	0	3	0	1	0	0	0	1	1	0
AC002044.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002056.3	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0
AC002056.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC002064.4	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002066.1	0	0	0	0	0	3	0	2	1	0	2	0	0	0	0	0	2	0	1	0	0
AC002069.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002072.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002076.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC002116.7	2	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
AC002116.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002117.1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.5	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	4	1
AC002306.1	0	0	1	0	0	1	3	0	0	0	1	0	0	1	2	0	0	0	0	0	0
AC002310.10	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
AC002310.12	0	0	1	3	0	7	3	1	0	2	1	1	7	1	0	0	0	0	2	1	4
AC002310.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.14	0	0	1	0	0	7	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0
AC002310.17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
AC002310.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002314.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002365.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
AC002366.1	5	0	4	4	1	9	6	1	0	1	0	0	0	0	1	0	0	0	0	0	1
AC002366.3	7	0	13	3	0	7	1	0	0	0	0	1	0	0	1	0	3	0	1	0	0
AC002368.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002389.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002395.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.11	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC002398.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC002398.13	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002400.1	0	0	20	17	6	4	3	0	0	1	1	4	12	2	0	0	0	0	9	2	4
AC002401.1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002407.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC002451.3	0	0	0	0	0	1	0	4	0	1	1	0	0	0	0	0	1	0	0	0	3
AC002454.1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
AC002456.2	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC002463.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002464.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.7	0	0	0	2	1	8	0	0	2	0	1	1	8	0	0	0	0	0	0	0	0
AC002472.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.2	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC002480.3	2	0	5	0	0	3	0	1	0	0	1	1	4	4	0	0	4	1	6	1	1
AC002480.4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
